English,Ekegusii
"Anna ran to him, and fell upon the neck of her son, and said to him, “I have seen you, my child! I am ready to die.” They both wept.","Ana akaminyokera omwana oye akamoboania akamonyunyuta akamoteebia, Bono ase engencho nakororire kore moyo naende omwana one nabo ngokwa, erio akaiyeria amariga y’omogooko."
"Tobit went toward the door and stumbled; but his son ran to him,",Erio Tobiti nere akaimoka agaeta korwa ase omorangwa omagega.
"and took hold of his father. He rubbed the bile on his father’s eyes, saying, “Cheer up, my father.”","Tobia nao abwate enkoro eria y’enswe koboko kwaye, akaminyokera ise. Agaaka ise eriogo riria ase amaiso aye akamoteebia “Tata tokwa omoyo.”"
"When his eyes began to hurt, he rubbed them.",Magega yaye akarusia ebinto biria ebirabu biarenge ase amaiso a ise
"Then the white films peeled away from the corners of his eyes; and he saw his son, and fell upon his neck.",namaboko aye abere erio Tobiti akarora omwana oye erio akamoboania namaboko aye abere.
"He wept, and said, “Blessed are you, O God, and blessed is your name forever! Blessed are all your holy angels!","Agachaaka korera ogoteeba, “Nakororire omwana one! Aye n’omwana one oyio ore oborabu bwa amaiso ane.” Erio agateeba, Nyasae atogigwe boigo n’erieta riaye na abamalaika bonsi abachenu."
"For you scourged, and had mercy on me. Behold, I see my son Tobias.” And his son went in rejoicing, and told his father the great things that had happened to him in Media.","Ere ondeterete emechando eye korende naende ondoreire amaabera narorire naende omwana one Tobia! Erio Tobia agasoa nyomba ase omogooko akamotogia Nyasae ase eriogi rinene. Erio agateebia ise buna orogendo rwaye rwarenge orw’ogosesenigwa, naende buna oratire chitaabu chiria, boigo buna anywomire Sara mosubati o Ragueli oyio ore nchera ange goika Ninawi."
"Tobit went out to meet his daughter-in-law at the gate of Nineveh, rejoicing and blessing God. Those who saw him go marveled, because he had received his sight.","Bono Tobiti ase omogooko agatogia Nyasae erio agasoka kogenda koarigania moka momura oye korwa ase ebiita bi’omochie o Ninawi. Ekero abanto ba Ninawi baroche Tobiti kagotara ore nechinguru na atari koraua na monto onde, bagakumia mono."
"Tobit gave thanks before them, because God had shown mercy on him. When Tobit came near to Sarah his daughter-in-law, he blessed her, saying, “Welcome, daughter! Blessed is God who has brought you to us, and blessed are your father and your mother.” And there was joy among all his kindred who were at Nineveh.","Tobiti akabateebia bonsi buna Nyasae amororerire amaabera erio omogwenia onyara korora naende. Magega yaye Tobiti bakaumerana na Sara moka momura oye, akamoarigania agateeba, “Nakoariganirie omwana one, tiga Nyasae atogigwe oyio ogwanchera goika aiga. Tiga iso asesenigwe, boigo n’mwana one Tobiti nere asesenigwe, naye boigo osesenigwe omwana one! Soa nka mwao twakoariganirie ase omogooko n’ebisio omwana one!” Rituko erio rikaba eriomogooko ase Abayahudi bonsi barenge Ninawi."
Achiacharus and Nasbas his brother’s son came.,Ahika na Nadau abaigwa ba Tobiti bagaacha kogoka amo na Tobiti.
Tobias’ wedding feast was kept seven days with great gladness.,"Ase omogooko bakagokera enywomo ya Tobia ase amatuko atano na abere, na ebiegwa ebinge bikaruegwa."
"And Tobit called his son Tobias, and said to him, “See, my child, that the man which went with you have his wages, and you must give him more.”","Magega y’omoyega bw’enyangi, Tobiti akarangeria omwana oye Tobia akamoteebia “Goika aye oakane omosani oo oyio mwagendete komo eng’eria yaye naende omomente kende igoro.”"
"And he said to him, “Father, it is no harm to me to give him the half of those things which I have brought;","Tobia akaboria ise “Tata, ’naki ndamwakane engeria eng’ana? Neisa koba nekeng’ese ki’enibo eria twarentete inche tingokumia."
"for he has led me for you in safety, and he cured my wife, and brought my money, and likewise cured you.”","Ere ondaire goika inka buya; nere ogwenetie mokane, agakonya goikia chitaabu chiria aiga buya na bono okogwenirie, inki ndamoe ase ayio onsi?”"
"The old man said, “It is due to him.”","Tobiti akamoteebia, nigo aisaine eken’gese kia biria bionsi agokonya konyora."
"And he called the angel, and said to him, “Take half of all that you have brought.”","Bono Tobia akarangeria Rafaeli akamoteebia, “Bono aye ira ekengese ki’enibo eria yonsi gwankonya konyora ee nero eng’eria yao!”"
"Then he called them both privately, and said to them, “Bless God, and give him thanks, and magnify him, and give him thanks in the sight of all that live, for the things which he has done with you. It is good to bless God and exalt his name, showing forth with honor the works of God. Don’t be slack to give him thanks.","Korende Rafaeli akarangeria Tobiti na Tobia ensemo akabateebia, “Motogie Nyasae; morarie amakumia aye ase abanto bonsi ase engencho y’aaya ayio abakoreire. Motogie na koribaaka erieta riaye, rareria abanto bonsi amaya a Nyasae buna egwenerete gose inwe timorosa gokora ayio."
"It is good to conceal the secret of a king, but to reveal gloriously the works of God. Do good, and evil won’t find you.","Negwenerete korenda obobisi bw’ omorwoti, korende amakorwa a Nyasae goika ararigwe kera ase buna egwenerete. Kora amaya nainwe timokonyora bobe bonde."
"Good is prayer with fasting, alms, and righteousness. A little with righteousness is better than much with unrighteousness. It is better to give alms than to lay up gold.","Mbuya gosasiima Nyasae ase enkoro y’ekeene na gokoonya abataka, kobua koba omonda otari omwegenwa. Mbuya gokoonya abataka kobua kwegachera chitaabu."
"Alms delivers from death, and it purges away all sin. Those who give alms and do righteousness will be filled with life;",Ogokoonya abataka nigo gokorusia omonto ase amakweri na komosibia ebibe biaye bionsi. Baria barakonye abataka nigo barasesenigwe n’obogima obuya.
but those who sin are enemies to their own life.,Korende baria bagokora ebibe na amabe nigo bakwerentera emechaando barabwo abanyene.”
"Surely I will conceal nothing from you. I have said, ‘It is good to conceal the secret of a king, but to reveal gloriously the works of God.’","“Bono nkobateebia inde ekeene ntari kobabisa kende. ’Nabateebia ng’a mbuya kobisa obobisi bw’omorwoti, korende aya Nyasae goika ararigwe kera ase buna egwenerete. Tobiti!"
"And now, when you prayed, and Sarah your daughter-in-law, I brought the memorial of your prayer before the Holy One. When you buried the dead, I was with you likewise.","Aye ekero mware gosaba na Sara chingaki chiria, ninche naigwete ogosaba kwaino ase obosio bwa Nyasae omochenu na kera ekero kware gotindeka abakuure ninche nare koira amang’ana ao ase Nyasae."
"And when you didn’t delay to rise up, and leave your dinner, that you might go and cover the dead, your good deed was not hidden from me. I was with you.","Bono aye ekero gwatigete endagera yao kware koria okagenda gotindeka omonto okwete, Nyasae nigo antomete ngoteeme."
And now God sent me to heal you and Sarah your daughter-in-law.,Boigo nere ontomete ’nchiche gokogwenia boigo na gokonya moka momura oo Sara.
"I am Raphael, one of the seven holy angels which present the prayers of the saints and go in before the glory of the Holy One.”",Inche Rafaeli oyomo bw’ Abamalaika baria batano na babere abwo baikaransete ase obosio bw’Omonene omochenu bakomokorera botambe.”
"And they were both troubled, and fell upon their faces; for they were afraid.",Tobiti na Tobia bakoboa mono bakagwa inse bagatuba amaiso abo bare nomoondoko.
"And he said to them, “Don’t be afraid. You will all have peace; but bless God forever.","Korende Rafaeli akabateebia, timwoboa, mobe n’omorembe. Motogie Nyasae botambe."
"For I came not of any favor of my own, but by the will of your God. Therefore bless him forever.",Okoba kwane ase more tari ogwancha kwane korende n’ogwancha kwa Nyasae. Ere nere moganeirie gotogia ase obogima bwaino bwonsi. Nere moganeirie kobaaka.
"All these days I appeared to you. I didn’t eat or drink, but you all saw a vision.","Inwe nigo mokagerete buna nigo mwandoche ginkoria endagera, korende nase okororekana tari bo yare."
"Now give God thanks, because I ascend to him who sent me. Write in a book all the things which have been done.”",Ase igo bono inwe motogie na komoakera mbuya mono Omonene Nyasae. Bono inche ’nkoirana inde gochia ase oria ontomete korwa igoro. Riika amang’ana ayio onsi akoregete.
"Then they rose up, and saw him no more.",Erio Rafaeli agasira tibamorora naende.
"They confessed the great and wonderful works of God, and how the angel of the Lord had appeared to them.","Bono barabwo bagachaaka gotogia Nyasae ase amateera, bakamotogia ase engencho ya amakora aye amanene ayio akorerete abamalaika baye ekero abakokererete."
"And Tobit wrote a prayer for rejoicing, and said, “Blessed is God who lives forever! Blessed is his kingdom!","Bono Tobiti agakwana amang’ana aya, Atogigwe Nyasae o kare na kare, ekiagera oborwoti bwaye nobwakare na kare."
"For he scourges, and shows mercy. He leads down to the grave, and brings up again. There is no one who will escape his hand.","Ere nigo akoa omonto egesusuro naende omwabera; ere nigo agotirimbokia abanto gochia ase abakuure naende obairania korwa aroro, onde taiyo oranyaare kwebisa korwa ase okoboko kwaye."
"Give thanks to him before the Gentiles, all you children of Israel! For he has scattered us among them.","Inwe abanto ba Israeli, motogie gati y’ebisaku ase engencho ere obaseberanirie ase egati yabo;"
"Declare his greatness, there. Extol him before all the living, because he is our Lord, and God is our Father forever.",agwo agwo ere obaorokeirie obonene bwaye. Motogie ase obosio bw’ebitongwa bionsi. Nere Omonene Nyasae oito. Nere Nyasae na tata oito kare na kare.
"He will scourge us for our iniquities, and will again show mercy, and will gather us out of all the nations among whom you are all scattered.","Nonya gakobaa egesusuro ase engencho y’obobe bwaino, nabarorere amaabera inwe mwensi; nabasangererie korwa ase kera egesaku korwa kera ase mwasiareretwe."
"If you turn to him with your whole heart and with your whole soul, to do truth before him, then he will turn to you, and won’t hide his face from you. See what he will do with you. Give him thanks with your whole mouth. Bless the Lord of righteousness. Exalt the everlasting King. I give him thanks in the land of my captivity, and show his strength and majesty to a nation of sinners. Turn, you sinners, and do righteousness before him. Who can tell if he will accept you and have mercy on you?","Moise komoiranera Nyasae ne chinkoro chindabu n’emioyo emerabu, naende moise gokora ayare amaronge ase obosio bwaye, ere nabairanere naende takobisa obosio bwaye korwa ase more. Bono rora aya akorire; moitabe ase eriogi rinene. Togia Omonene bw’obochenu naende imokereria omorwoti bw’emiaka yonsi igoro. Aa ase ense y’obosomba ense engeni, nikwane obuya bwa Nyasae nagokwana igoro y’obonene bwaye ase ense y’abanyabibe: Onchoka korwa ase ebibe biano inwe abanyabibe na gokora ayare amaya ase obosio bwaye, kero kende ere nabarorere amaabera."
"I exalt my God. My soul exalts the King of heaven, and rejoices in his greatness.",Korende inche nigo nkomotogia Nyasae nenkoro yane nigo egokorete omorwoti o igoro.
"Let all men speak, and let them give him thanks in Jerusalem.","Tiga abanto bonsi bakwane igoro yobonene bwaye, na komotogia aria Yerusalemu."
"O Jerusalem, the holy city, he will scourge you for the works of your sons, and will again have mercy on the sons of the righteous.","Aye Yerusalemu omochie omochenu o Nyasae, nonyoore egesusuro ase engencho yebibe bi’abaanto bao, korende ere nabarorere amaabera baria bagokora ayare amaya."
"Give thanks to the Lord with goodness, and bless the everlasting King, that his tabernacle may be built in you again with joy, and that he may make glad in you those who are captives, and love in you forever those who are miserable.","Ase igo moakere Omonene ng’a mbuya ase engencho y’obuya bwaye. Togia omorwoti bw’abarwoti. Hekalu yao neagachwe naende, na abanto bao ’mbabe n’omogooko naende. Tiga Omonene agokie abasibwa bonsi, na tiga echandere abanto baye chingaki chionsi abwo bachandegete."
"Many nations will come from afar to the name of the Lord God with gifts in their hands, even gifts to the King of heaven. Generations of generations will praise you, and sing songs of rejoicing.","Aye Yerusalemu oborabu bwao mborabe kegima ase ense yonsi, na korwa aare chinse chionsi nchiche ase ore. Abanto bonsi mbache gotogia Omonene. Mbarete ebiegwa ase omorwoti o igoro. Ase chinchera chiao, ebigori ebinge mbitere n’omogooko, erieta riao ’ndibe aroro goika kare na kare buna omochie omochoore o Nyasae."
All those who hate you are cursed. All those who love you forever will be blessed.,"Mbaragererigwe baria bonsi barakwane bobe igoro yao boigo na baria bonsi barigetie gokoboera na gotagora chinyasi chiao, baria bonsi bagotagora chindwaki chiao na gosamba emechie yao. Korende baria bonsi bagosigete mbasesenigwe botambe."
Rejoice and be exceedingly glad for the sons of the righteous; for they will be gathered together and will bless the Lord of the righteous.,"Bono goka aye Yerusalemu ase engencho y ’abachenu bao, mbasangererigwe bonsi korwa ase obosomba erio bamotogie Omonene bw’emiaka yonsi."
Oh blessed are those who love you. They will rejoice for your peace. Blessed are all those who mourned for all your scourges; because they will rejoice for you when they have seen all your glory. They will be made glad forever.,"Mbasesenirie baria bonsi bagwanchete na boigo na kogokigwa n’okogenderera kwao. Baria bakorera ase engencho y’ogochandeka kwao, barabwo mbache kogoka na gochenga naye ase amatuko onsi; omogooko oo nobaretere omochengo botambe."
Let my soul bless God the great King.,Nigo ngotogia Omonene omorwoti omonene.
"For Jerusalem will be built with sapphires, emeralds, and precious stones; your walls and towers and battlements with pure gold.","Ase engencho Yerusalemu noagachwe naende erio obe obomenyo bwaye goika kare na kare. “Aye Yerusalemu, mogoko ki orabe ekero abanto b’egesaku kiane bararore obuya bwao nakomotogia Omorwoti o igoro! Ebiita biao ’mbiagachwe n’amagena e chilulu ne chinyasi chiao chiagachwe n’amagena akomeka meka. Chindwaki chiao ’chiagachwe n’etaabu ne chinsemo chiabo chiroisigwe n’etaabu echenegete."
"The streets of Jerusalem will be paved with beryl, carbuncle, and stones of Ophir.",Chinchera chiaye ’chirosigwe n’amagena ya hakiki n’echisonoi chikomekameka.
"All her streets will say, “Hallelujah!” and give praise, saying, “Blessed be God, who has exalted you forever!”","Ebiita biao mbichorwe n’amatera y’omogooko; naboigo ase chinyomba chiao abanto mbateere amateera y’gokobaaka: Atogigwe Nyasae, Nyasae bw’Abaisraeli! Ase ore aye Yerusalemu mbaritogie eriata riaye richenu kare na kare. Halleluya.”"
Then Tobit finished giving thanks.,Aiga nao amang’ana y’ogwaka mbuya mono a Tobiti aererete.
"He was fifty-eight years old when he lost his sight. After eight years, he received it again. He gave alms and he feared the Lord God more and more, and gave thanks to him.","Tobiti agakwa n’omorembe ore n’emiaka 112, agatindekwa n’masikani ariaa Ninawi. Ere nigo arenge n’emiaka 62 ekero abete omouko. Ekero agwenetigwe, akagenderera komenya n’mogoko na akagenderera gokoonya abataka na gotogia Nyasae ase obuya bwaye."
"Now he grew very old; and he called his son with the six sons of his son, and said to him, “My child, take your sons. Behold, I have grown old, and am ready to depart out of this life.",Ekero arenge ange gokwa akarangeria omwana oye Tobia akamoa oboseemia obo:
"Go into Media, my child, for I surely believe all the things which Jonah the prophet spoke of Nineveh, that it will be overthrown, but in Media there will rather be peace for a season. Our kindred will be scattered on the earth from the good land. Jerusalem will be desolate, and the house of God in it will be burned up, and will be desolate for a time.","Omwana one imokia abanto bao ogende goika ense ya Media ase obwango mono ase engencho ninyegenete ring’ana ria Nyasae erio akwanete goetera ase Omobani oye Nahumu igoro y’omochie o Ninawi ngoikerana rire. Kera egento abasomba ba Nyasaena ababani ba Israeli bakwanete igoro y’omochie bwa Asuru na Ninawi goika geikerane ase chingaki chiaye. Kende tikeri bakwanete keraonchoke. Inwe mobe buya aria Media kobua kobera Asuri gose Babuloni. Inche ninyegenete ng’a kera egento Nyasae akwanete goika geikerane, na ing’ana rinde rionsi tiriyo ase ayio abanetwe riraonchoke. Abaminto bamenyete aria ase ense ya Israeli mbabarwe bonsi nakoirwa are korwa ase ense eria engiya mono. Ense yonsi ya Israeli netigare bosa, emechie ya Samaria na Yerusalemu netigwe bosa, n’Hekalu ya Nyasae nesambwe n’omorero na gotigara ritombe."
"God will again have mercy on them, and bring them back into the land, and they will build the house, but not like to the former house, until the times of that age are fulfilled. Afterward they will return from the places of their captivity, and build up Jerusalem with honor. The house of God will be built in it forever with a glorious building, even as the prophets spoke concerning it.","Erio Nyasae narorere abanto baye amaabera naende abairanie gochia ase ense ya Israeli. Mbaagache naende Hekalu yaye buya korende tekoba ngiya buna eria y’eritangani goika engaki yaye yaikire. Korende magega yayio abanto bonsi ba Israeli mbairane korwa obosomba baagache buya naende omochie o Yerusalemu ase obonene bwaye bwonsi, buna koreng’ana ababani ba Israeli batebire."
"And all the nations will turn to fear the Lord God truly, and will bury their idols.",Erio abanto bonsi ense engima mbatooreke na komoiranera Nyasae. Mbasarie chinyasae chiabo echio chiare kobang’aina erio basasiime Nyasae bw’ekeene.
"All the nations will bless the Lord, and his people will give thanks to God, and the Lord will exalt his people; and all those who love the Lord God in truth and righteousness will rejoice, showing mercy to our kindred.","Abaisraeli bonsi abwo bairetwe obosomba rituko erio mbainyore Nyasae. Bonsi ’mbasangererekane aria Yerusalemu agwo ase ense ya Aburaamu nakoyeira ebe eyaabo. Bonsi baria abamwanchete Nyasae ase ekeene mbagoke, korende baria bagokora ebibe nobosaria mbasirigwe korwa ase ense."
"And now, my child, depart from Nineveh, because those things which the prophet Jonah spoke will surely come to pass.",Bono abana baane nkoborokereria inde enchera yane. Mokorere Nyasae nomoyo bw’okwerwa nagokora aria are amaya ase obosio bwaye.
"But you must keep the law and the ordinances, and show yourself merciful and righteous, that it may be well with you.","Egeria abana baino gokora ayare amaya botambe gokoonya abataka, na komotogia Nyasae botambe n’enkoro yokwerwa."
"Bury me decently, and your mother with me. Don’t stay at Nineveh. See, my child, what Aman did to Achiacharus who nourished him, how out of light he brought him into darkness, and all the recompense that he made him. Achiacharus was saved, but the other had his recompense, and he went down into darkness. Manasses gave alms, and escaped the snare of death which he set for him; but Aman fell into the snare, and perished.","Bono omwana one aye ong’anyie korwa aa Ninawi tobaisa komenya aroro. Rituko riria oratindeke nyoko, oboina bwaye bobe ensemo ase obwane, kogokora komotindeka rituko erio erio ong’anye korwa omochie oyo ekiagera osarekire. Oinyore onsi aria Nadabu akorerete Ahika oyio orenge ise moke na nere omorendete. Nigo atagete gotindeka Ahika kare moyo korende Nyasae akamosiria ase obosio bwa Ahika ase engencho y’komocha kwaye. Ase ngencho yobuya bwaye, Ahika agatoreka korwa ase omoeto oria konya Nadabu amobekeire."
"And now, my children, consider what alms does, and how righteousness delivers.” While he was saying these things, he gave up the ghost in the bed; but he was one hundred fifty eight years old. Tobias buried him magnificently.","Bono abana baane, mwarorire obuya b’ogokoonya abataka boigo mwarorire buna amakweri aganyererete abwo bagokorera abande bobe. Bono omoyo one nkobutoka ore. Erio barabwo bakamobeka akarara borere bwaye. Tobiti agakwa na agatindekwa n’amasikani."
"When Anna died, he buried her with his father. But Tobias departed with his wife and his sons to Ecbatana to Raguel his father-in-law,",Ase egeka egeke mokaye nere agakwa. Tobia akamotindeka ang’e n’omosacha oye. Erio Tobia akaimokia mokaye n’abana baye bagachaaka orogendo gochia Media. Bakagenda Goika Ekbatana bakamenya aroro ase Ragueli ise biara Tobia.
"and he grew old in honor, and he buried his father-in-law and mother-in-law magnificently, and he inherited their possessions, and his father Tobit’s.",Tobia akarenda Ragueli na Edina ase emiaka y’obogotu bwabo na akabaa amasikani amanene. Ekero bakwete akabatindeka aiga Ekbatana ase ense ya Media.
"He died at Ecbatana of Media, being one hundred twenty seven years old.",Tobia agakwera Ekbatana ore n’emiaka 117.
"Before he died, he heard of the destruction of Nineveh, which Nebuchadnezzar and Ahasuerus took captive. Before his death, he rejoiced over Nineveh.",Magega atarakwa oroche buna omochie o Ninawi osiretigwe. Akarora buna abanto ba Ninawi bairetwe obosomba n’omorwoti Ahusuero aria ase ense ya Media. Tobia agaakera Nyasae mbuya ase engencho yokoa abanto ba Ninawi boigo na ab’Ashuru egesusuro.
"In the twelfth year of the reign of Nebuchadnezzar, who reigned over the Assyrians in Nineveh, the great city, in the days of Arphaxad, who reigned over the Medes in Ecbatana,",Nebukadinesaro nigo arenge omorwoti bwa Abaasuru. Ninawi noro orenge omochie oye omonene. Arifakisadi nere orenge omorai bwa Abamedi ase engaki eyio na Ekibatana noro orenge omochie oye omonene boigo.
"and built around Ecbatana walls of hewn stones three cubits broad and six cubits long, and made the height of the wall seventy cubits, and its breadth fifty cubits,","Omorwoti Arifakisadi akaywagaachera omochie bwa Ekibata enyasi ya amagena. Obotambe bw’enyasi nigo bwarenge chimita 30 na obogare bwaye chimita 22. Kera rigena rienyasi nigo riarenge no’bogare bwe chisentimita 130, n’obotaambe bwe chisentimita 260."
"and set its towers at its gates one hundred cubits high, and its breadth in the foundation was sixty cubits,","Ime ase kera egeita, akaagacha orwaki rw’obotambe bwe chimiita 44 amo noboroso bw’echimita 26."
"and made its gates, even gates that were raised to the height of seventy cubits, and their breadth forty cubits, for his mighty army to go out of, and the setting in array of his footmen—",Akaagacha kera egesoero kiobotambe bw’echimita 30 n’obogare chimita 18. Aya nigo aroisetigwe ase ogoeta kwa bwango ase abarwani ase okogabana kwabo.
in those days King Nebuchadnezzar made war with King Arphaxad in the great plain. This plain is on the borders of Ragau.,"Ase omwaka o ikomi na kabere bw’orwoti bwaye, Nebukadinesaro agachaaka esegi yokomorwania omorwoti Arifakisadi. Esegi eyio nigo yakoreretwe ase rinani rinene ria Rage."
"There came to meet him all that lived in the hill country, and all that lived by Euphrates, Tigris, and Hydaspes, and in the plain of Arioch the king of the Elymaeans. Many nations of the sons of Chelod assembled themselves to the battle.","Erio ebisaku ebinge bikabwatana na omorwoti Arifakisadi ase esegi eyio. Aba nabwo babwatanete amo n’omorwoti Arifakisadi; abanto bonsi b’ebitunwa abwo bamenyete ase chingegu chi’oroche rwa Tigiri, Eyufurate na Hidasipe. Boigo abanto bamenyete ase rinani riarenge koragwa na nomorwoti Arioko o Elamu. Ebisaku ebinge bikabwatana ase obomo bwechinse chia Abakalidayo."
"And Nebuchadnezzar king of the Assyrians sent to all who lived in Persia, and to all who lived westward, to those who lived in Cilicia, Damascus, Libanus, Antilibanus, and to all who lived along the sea coast,","Nebukadinesaro omorwoti bwa Abaasuri agatoma amang’ana ase abanto b’orogongo rwa Uajemi na bonsi abamenyete bosongo, boigo ase abaamenyete Kilikia, Damesiki, Lebanoni na Antilebanoni na bonsi abamenyete chingegu chi’enyama."
"and to those among the nations that were of Carmel and Gilead, and to the higher Galilee and the great plain of Esdraelon,","Boigo egati yebisaku bia Karimeli na Gileadi, na Galili na Irianyi n’ense y’omweya ya Yezirili."
"and to all who were in Samaria and its cities, and beyond Jordan to Jerusalem, Betane, Chellus, Kadesh, the river of Egypt, Tahpanhes, Rameses, and all the land of Goshen,","Omorwoti Nebukadinesaro akabatomera amang’ana boigo abamenyi ba Samaria nemechie yabebekaine abwo bamenyete Irianyi y’oroche rwa Yorodani goika omochie o Yerusalemu, Bethania, Kelusi, Kadeshi na Gosheni"
"until you come above Tanis and Memphis, and to all that lived in Egypt, until you come to the borders of Ethiopia.","amang’ana ayio agaika nonya ngoika Tanisi, Memufisi boigo goika Misiri ne Ethiopia"
"All those who lived in all the land made light of the commandment of Nebuchadnezzar king of the Assyrians, and didn’t go with him to the war; for they were not afraid of him, but he was before them as one man. They turned away his messengers from their presence without effect, and with disgrace.","Nonya nabo, abanto be chingongo echio bagasiereria amang’ana a Nebukadinesaro omorwoti bwa Abaashuri. Bakanga kobwatana nere ase aseegi ase engencho batamoirogete. Tibaroche buna nenyarekane abue esegi eyio. Bakairania abatomwa baye ase enchera y’obosooku bare birati."
"And Nebuchadnezzar was exceedingly angry with all this land, and he swore by his throne and kingdom that he would surely be avenged upon all the coasts of Cilicia, Damascus, and Syria, that he would kill with his sword all the inhabitants of the land of Moab, the children of Ammon, all Judea, and all who were in Egypt, until you come to the borders of the two seas.","Omorwoti Nebukadinesaro akabea mono ase chingongo echio. Agatiana ase ekerogo noborwoti bwaye kobeeka obonda bwaye bwonsi ase ogoakana egesiomba ase ebisaku ebio biangete kobwatana nere ase esegi. Akaria eira gosiria obomo bw’ebisaku ebio bionsi bimenyete Kirikia, Damesiki, Asuri, Moabu, Amoni Yudea na Misiri. Agatiana boigo kobasiria abanto bonsi bamenyete ase chingegu chi’enyama ya Mediterania goika Pasia."
"And he set the battle in array with his army against King Arphaxad in the seventeenth year; and he prevailed in his battle, and turned to flight all the army of Arphaxad, with all his horses and all his chariots.","Ase omwaka o gatanakabere bw’oborwoti bwaye, omorwoti Nebukadinesaro akaraa abarwani baye b’esegi gochia korwania omorwoti Arifakisadi erio akamobua. Nebukadinesaro akabua abarwani ba Arifakisadi abwo bare gotaara namagoro na baria bare korwana bariinete chigari chiechibaarasi."
"He took possession of his cities. He came to Ecbatana and took the towers, plundered its streets, and turned its beauty into shame.",Nebukadinesaro akayeira ense emechie yonsi yabamedi. Akayeira emechie emenene yonsi nechichiiro na koonchorana obuya bw’emechie eyio yonsi ase okoyetaagora na koyesaria.
"He took Arphaxad in the mountains of Ragau, struck him through with his darts, and utterly destroyed him to this day.",Akamobwata omorwoti Arifakisadi ime ase ebitunwa bia Rege na komoita ase okomobeta amatimo agoiterwa ching’iti chi’orosana.
"He returned with them to Nineveh, he and all his company of sundry nations—an exceedingly great multitude of men of war. There he took his ease and banqueted, he and his army, for one hundred twenty days.","Ekero aitete omorwoti Arifakisadi, Nebukadinesaro akairana gochia Ninawi amo nobonda obonge ere amo nabarwani baye baurete ababisa baye ase esegi. Ekero are agwo Ninawi, Nebikadinazaro amo nabarwani baye bagatimoka ase okwegokia ase emetienyi ene."
"In the eighteenth year, the twenty-second day of the first month, there was talk in the house of Nebuchadnezzar king of the Assyrians that he should be avenged on all the land, even as he spoke.","Ase omwaka o ikomi na gatano na gatato ase oborwoti bwaye, rituko riemerongo ebere na rimo boigo omotienyi omotang’ani, omorwoti Nebukadinesaro amo nabaseemia baye bagaetia goakana egesiomba ase ebisaku bionsi biangete komobwatesia ase esegi."
"He called together all his servants and all his great men, and communicated with them his secret counsel, and with his own mouth, recounted the wickedness of all the land.",Akabaenekeria obobe boria emechie eyio yangete komobwatesia bamokorerete.
They decreed to destroy all flesh which didn’t follow the word of his mouth.,Bakaigwana ng’a onde bwensi okorete okomocha okwo goika aitwe.
"It came to pass, when he had ended his counsel, Nebuchadnezzar king of the Assyrians called Holofernes the chief captain of his army, who was second to himself, and said to him,","Erio ekero abaenekeirie omoroberio oye, omorwoti Nebukadinesaro akarangeria omonene bwa abarwani baye okorokwa Horofene. Oyo nere orenge komobwatia omorwoti ase obonene ase oboteneneri bw’abarwani."
"“The great king, the lord of all the earth, says: ‘Behold, you shall go out from my presence, and take with you men who trust in their strength, to one hundred twenty thousand footmen and twelve thousand horses with their riders.","Omorwoti akarua ogochika gochi ase Horofone; ekeene buna inche inde omorwoti ase ense yonsi, nakoeire ribaga ochore abarwani banarete esegi buna ekobwatia: abarwani esegi bagotaara n’amagoro 120,000, na abarwani bakoriina chibarasi 12,000."
"And you shall go out against all the west country, because they disobeyed the commandment of my mouth.",Oimoke ogeende ogwere chinsinyo chionsi chi’ense ya moocha baria bangete kombwatesia aseegi.
"You shall declare to them that they should prepare earth and water, because I will go out in my wrath against them, and will cover the whole face of the earth with the feet of my army, who will plunder them.",Obateebie buna tibari na rinde otatiga gotiringa esike ekigera nimbaorokere ase ekeririanda na gotuba ense yaabo na amagoro yabarwani baane na kobakora abasakore.
"Their slain will fill their valleys and brooks, and the river will be filled with their dead until it overflows.",Goika ekero abanto baabo bare nechingoma amo na amaote baraare ase ebirubo biabo na kera orooche negetionko bichorwe nebitondo biabo.
I will lead them as captives to the utmost parts of all the earth.,Nimbaimokie abasakore baabo na kobang’anyia gochia ase chinsinyo chi’ense.
"But you shall go forth, and take all their coasts for me first. If they will yield themselves to you, then you must reserve them for me until the day of their reproof.","Korende aye Holofene nagochiikire gontang’anera gosakora chinsinyo echio chionsi inche omonyene ntaraika. Keraabe beruure asore, nigo aye orababwate goika inche omonyene inche kobaa egesusuro."
"As for those who resist, your eye shall not spare; but you shall give them up to be slain and to be plundered in all your land.","Keraabe bekong’irie ase okogochaaya, tobaisa kobatiga bare moyo. Obaite na gosakora ensemo yabo yonsi ase okobabeka ase oboteneneri bwao."
"For as I live, and by the power of my kingdom, I have spoken, and I will do this with my hand.",Inche natianire ase oborwoti n’obogima bwane ng’a ning’ikeranie onsi ayio nariire eira koyakora.
"Moreover, you shall not transgress anything of the commandments of your lord, but you shall surely accomplish them, as I have commanded you. You shall not defer to do them.’”",Ase igo nekogwenerete aye koigwera na gokorera ogochika kwane ase bwango ase oboikeranu.
"So Holofernes went out from the presence of his lord, and called all the governors, the captains, and officers of the army of Asshur.","Ase obwango, Holoferne akaayerera na gosangereria abarai, abaroberia nabateneri baye bonsi b’esegi b’orogongo rwa Asuri."
