English,Kiswahili,Ekegusii,Domain
Murang'a 876,181,883 238,818,117 1,115,000,000 734,257,887 382,537,843 1,116,795,730 100.2 
Embu 382,801,875 367,198,125 750,000,000 416,744,407 329,749,667 746,494,074 99.5 
Tana River 92,673,773 3,956,827 96,630,600 88,783,403 3,785,117 92,568,520 95.8 
Narok 4,858,121,756 120,951,908 4,979,073,664 4,694,190,690 59,479,796 4,753,670,486 95.5 
Elgeyo-
Marakwet 73,806,633 197,500,000 271,306,633 80,841,506 177,663,632 258,505,138 95.3 
Tharaka-
Nithi 300,870,000 149,800,000 450,670,000 256,362,512 160,983,523 417,346,035 92.6 
Meru 550,000,000 500,000,000 1,050,000,000 381,805,168 580,129,111 961,934,279 91.6 
Uasin Gishu 1,578,147,614 - 1,578,147,614 1,361,941,353 59,386,598 1,421,327,951 90.1 
Kitui 585,000,000 - 585,000,000 517,049,816 - 517,049,816 88.4 
Homa Bay 341,139,710 1,051,066,642 1,392,206,352 359,263,180 841,232,651 1,200,495,831 86.2 
Makueni 870,000,000 370,000,000 1,240,000,000 490,586,795 554,088,153 1,044,674,948 84.2 
Baringo 300,719,215 149,378,181 450,097,396 196,579,016 181,622,619 378,201,635 84 
Migori 480,000,000 145,474,299 625,474,299 337,154,048 175,412,262 512,566,310 81.9 
Nakuru 2,400,000,000 1,700,000,000 4,100,000,000 1,852,802,262 1,468,498,216 3,321,300,479 81 
West Pokot 97,200,000 132,800,000 230,000,000 65,447,701 119,847,000 185,294,701 80.6 
Siaya 434,494,994 325,505,006 760,000,000 222,110,969 388,626,776 610,737,745 80.4 
Isiolo 267,634,395 88,573,785 356,208,180 190,715,416 94,481,928 285,197,344 80.1 
Kericho 530,071,600 536,355,000 1,066,426,600 359,664,618 482,263,360 841,927,978 78.9 
Marsabit 120,000,000 70,000,000 190,000,000 54,869,460 90,223,090 145,092,550 76.4 
Mombasa 5,856,356,997 1,521,576,230 7,377,933,227 4,457,758,296 1,127,265,714 5,585,024,010 75.7 
Trans Nzoia 342,000,000 301,700,000 643,700,000 266,785,779 209,852,393 476,638,172 74 
Laikipia 842,500,000 602,500,000 1,445,000,000 499,999,607 561,020,491 1,061,020,098 73.4 
Taita-
Taveta 426,985,000 201,682,445 628,667,445 251,061,302 210,125,350 461,186,652 73.4 
Bomet 187,592,587 144,449,243 332,041,830 158,317,549 80,612,871 238,930,420 72 
Kwale 334,245,200 265,754,800 600,000,000 257,844,508 169,533,420 427,377,928 71.2 
Kilifi 1,588,634,222 200,000,000 1,788,634,222 736,398,329 472,221,668 1,208,619,997 67.6 
Kiambu 5,459,066,235 1,536,300,000 6,995,366,235 3,378,069,561 1,197,762,046 4,575,831,607 65.4 
Kisii 650,000,000 1,193,892,198 1,843,892,198 496,943,902 683,218,135 1,180,162,037 64 
Nairobi 19,419,630,278 270,000,000 19,689,630,278 11,469,860,349 1,072,234,069 12,542,094,418 63.7 
Kisumu 1,682,844,694 600,000,000 2,282,844,694 840,231,049 603,376,939 1,443,607,988 63.2 
Kakamega 1,359,000,000 841,000,000 2,200,000,000 801,322,586 546,510,693 1,347,833,279 61.3 
Busia 396,793,350 252,222,283 649,015,633 233,065,731 136,138,244 369,203,975 56.9 
Kajiado 1,621,247,688 247,219,297 1,868,466,985 678,403,673 369,952,762 1,048,356,435 56.1 
Bungoma 868,201,470 1,142,218,266 2,010,419,736 439,484,834 681,424,515 1,120,909,349 55.8 
Nyamira 457,000,000 230,000,000 687,000,000 148,981,607 220,814,736 369,796,343 53.8 
Mandera 278,748,838 51,785,008 330,533,846 142,498,606 25,548,681 168,047,287 50.8 
Machakos 2,324,286,060 1,008,000,000 3,332,286,060 1,344,939,101 204,409,376 1,549,348,477 46.5 
Nyandarua 793,435,975 431,564,025 1,225,000,000 309,994,465 205,746,307 515,740,772 42.1 
Total 62,652,641,082 18,282,473,396 80,935,114,477 42,292,207,336 16,656,393,920 58,948,601,257 72.8 
Source of Data: Controller of Budget 
 
 
 
  
 
25 
33. Total OSR included the Facility Improvement Fund, which is the money collected and 
retained by health facilities in line with the Facilities Improvement Financing Act, 2023. As at 
the 30th June 2024, the public health facilities had collected and retained a total of Ksh 1 6.7 
billion against a target of Ksh 18.3 billion, representing 91.3 percent of the target. For Ordinary 
revenue performance, counties were able to generate Ksh 42.3 billion against a target of Ksh . 
62.7 billion which represents an average of 67.5 percent  of the targeted OSR. A total of t en 
counties managed to collect more than 100 percent of their annual OSR target. These counties 
are; Turkana, Vihiga, Kirinyaga, Lamu, Nandi, Wajir, Garissa, Nyeri, Samburu, and Murang’a. 
On the other hand, seven county governments collected less than 60 percent of their OSR target. 
These counties are; Busia, Kajiado, Bungoma, Nyamira, Mandera, Machakos, and Nyandarua. 
The County Governments revenue performance  demonstrates that a majority of the County 
Governments are either under targeting or over targeting their OSR. In this regard, there is need 
to develop and build capacity of County Governments on a revenue forecasting tool to improve 
accuracy of  OSR forecast. The summary of individual county performance is presented in 
Figure 1. 
Figure 1: Actual Revenue Collected by the County Governments as a Percentage of 
Annual Revenue Target for FY 2023/24 
 
Source of Data: Controller of Budget 
ii)  OSR Growth in FY 2023/24 
34. An assessment of the OSR performance for FY 202/23 -2023/2024 reveals that 17 
Counties recorded more than 50 percent growth in revenue collection. This could be attributed 
to implementation of the OSR  policy, continuous capacity building on public finan ce 
management, revenue automation and  revenue administration reforms such as implementation 
of the FIF.   Nonetheless, there is need to explore the reasons for negative OSR growth  by some 
of the county governments namely Bomet, Bungoma, Trans-Nzoia and Samburu that recorded 
declines in OSR collection in FY 2023/24 . The details of  performance for the 47 County 
Governments are summarised in Table 10.  
  

 
 
  
 
26 
Table 10: County Governments OSR Growth between FY 2022/23 and FY 2023/24. 
 
Source of Data: Controller of Budget 
iii) National Government Support on enhancement of County Government OSR 
35. The National Treasury in collaboration with the county governments and other relevant 
institutions is currently implementing the National Policy to Support Enhancement of County 
Governments Own Source Revenue . One of the key recommendations in the policy is the 
development of the National Rating Bill  2022. The Bill  was prepared and submitted to 
Parliament and is currently in the final stages of approval. Once enacted, the National Treasury 
in collaboration with the Ministry responsible for lands will develop a model rating bill for 
domestication by county governments. The enactment of the County Rating Bill is expected to 
streamline the collection of  property rates by County Governments.  
36. Further, the National Treasury in collaboration with other stakeholders is spearheading the 
development of the Integrated County Revenue Management System (ICRMS) in line  with 
Section 12 (1, e) of the PFM 2012. Once operationalized, this will ensure accountability and 
transparency in OSR management and standardization of financial reporting in government. 
Additionally, this will reduce revenue leakages and the cost of revenue administration. 
  

 
 
  
 
27 
c) County Governments Expenditure for FY 2023/24 
37. Table 11 provides a summary of total expenditures, total revenues and overall absorption 
rates for the FY 2023/24 . The actual estimates of total expenditures amounted to Kshs 446.8 
billion for the FY 2023/24. This comprised an expenditure of Ksh 109.2 billion for development 
and Ksh. 337.5 billion for recurrent. 
Table 11: Performance of County Governments Revenue and Expenditure for FY 2023/24 
 Source of Data: Controller of Budget 
 
i) Overall Absorption Rate for FY 2023/24 
38. The overall absorption rate for FY 2023/24 was 79.4 percent of the approved budget.  
Counties with higher absorption rates, such as Wajir, Narok and Mandera, demonstrate efficient 
utilization of  budgeted  funds. This suggest s effective budget planning and execution, 
contributing higher project completion rate. Counties like Kisii, Garissa and Kisumu with lower 
absorption rates, may face challenges in fully utilizing their allocated funds. This could be due 
to various factors such as administrative inefficiencies, delays in project  procurement and  
implementation, delays in disbursements of the equitable share or capacity constraints. Figure 
2 below highlights the overall absorption rates for individual counties.  
Figure 2: Overall Absorption Rate by County Governments for FY 2023/24 (Percent) 
 
Source of Data: Controller of Budget 

 
 
  
 
28 
ii) Absorption Rate for Development Expenditure 
39. During the FY 2023/24 , the average absorption rate for development expenditure across 
counties was 57.5 percent. This indicates that absorption of development expenditure is still 
low and thus county governments are unable to fully achieve their developmental objectives 
within the prescribed time frame. Absorption rate for development expenditure is as indicat ed 
in Figure 3. The counties with the highest absorption rate for development expenditure were 
Narok, Homa Bay, Wajir and Mandera while the counties with the lowest absorption rate were 
Nairobi City, Kisumu and Kisii. 
Figure 3: Absorption Rates for Development Expenditure for FY2023/24 
 
Source of Data: Controller of Budget 
iii) Absorption Rates of the Recurrent Expenditure  
40. For the period under review, the average absorption rate for recurrent expenditure across 
counties was 90.5 percent. Recurrent expenditures  typically include salaries, utilities, 
maintenance, and other operational costs necessary for the day -to-day functioning of county 
governments. The counties with the highest absorption rate for recurrent expenditure were 
Nandi, Trans Nzoia, Turkana and Baringo while the counties with a low absorption rate were 
Bungoma, Busia, Homa Bay, and Kisumu (Figure 4).  
Figure 4: Absorption Rates for Recurrent Expenditure for the FY2023/24 (Percent) 
 
Source of Data: Controller of Budget 

 
 
  
 
29 
D. County Governments’ Compliance with Fiscal Responsibility Principles 
a) Recurrent Expenditure as a Percentage of Total Revenue 
41. Section 107(2) of the PFM Act 2012 provides that the County Government’s recurrent 
expenditure shall not exceed the County Government’s total revenue. In the FY 2023/24, all the 
county governments were in compliance with this legal requirement. The performance per 
county is as shown in Figure 5.  
Figure 5: Recurrent Expenditure as a Percentage of Total Revenue for FY 2023/24 
 
Source of Data: National Treasury and Controller of Budget 
b) Development Budget as a Percentage of the Total Budget 
42. PFM Act 2012, requires that a minimum of thirty percent of the National and County 
Governments’ budget shall be allocated to the development expenditure over the medium term. 
As indicated in Table 10, total County Governments’ approved development budget for the FY 
2023/24 accounted for 33.7  percent of the total budget. Most counties conformed to the 
requirement as per Section 107 (2) (b) of the Public Finance Management (PFM) Act, 2012 
except six as shown in the Figure 6.  
Figure 6: Budgeted Development Expenditure as a Percentage of Total County Budget for 
FY 2023/24 
 
Source: Controller of Budget 

 
 
  
 
30 
43. In spite of the majority of the County Governments being within the legal threshold o n 
allocation to development,  actual development expenditure for the FY 2023/24 accounted for 
24.4% of the total actual expenditure for the same period as indicated in Table 11.  In FY 
2023/24, only nine counties achieved the minimum 30 percent of their development expenditure  
as a percent of their total expenditure. The details on individual actual county expenditures are 
shown in Figure 7. 
Figure 7: Actual Development Expenditures as a Percentage of Actual Total Expenditure 
for FY 2023/24 
 
Source of Data: Controller of Budget  
44. The underperformance in the execution of development expenditure observed in Figure 7, 
suggests that while counties are allocating a higher percentage of their budget to development, 
their actual spending on these projects has rema ined lower than set benchmarks. County 
development budget execution has been constrained by the inability of County Governments in 
their realisation of their OSR and delays in transfer disbursements  by the National Government.  
This negatively impacts  execution of development plans due to delays in project planning and 
implementation.  
c) Expenditure on Wage Bill as a Percentage of Total Revenue 
45. Regulation 25 (1) (a) and (b) of the PFM (County Governments) Regulations 2015 
provides that the County Governments’ expenditure on wages and benefits for its public officers 
shall not exceed thirty-five (35) percent of the County Government’s total revenue. During the 
FY 2023/24, County Governments’ expenditure on wage bill amounted to Ksh  209.8 billion, 
accounting  for 47.6% of the total revenue of Ksh 440.7 billion, against a PFMA, 2012 required 
threshold of 35 percent . As revealed in Figure 8 , most County Governments are spending 
significantly higher proportion of their total revenue on wages than the recommended threshold. 
Three Counties namely: Tana River, Narok, and Kilifi were able to maintain their allocation to 
wages and salaries within the legal requirement. 
  

 
 
  
 
31 
Figure 8 : County Governments’ Actual Expenditures on Wages and Benefits as a 
Percentage of Total Actual Revenue for FY 2023/24 
 
Source of Data: National Treasury and Controller of Budget  
d) Prudent Management of Fiscal Risks 
46. Section 107 (2) (f) of the PFM Act, 2012 require County Treasuries to manage their fiscal 
risks prudently. During the review period,  a number of fiscal risks were identified in revenue 
and expenditure performance. These are:  
i) High expenditure on wage bill that lowers the ability of county governments to meet 
financial obligations on operations & maintenance and development requirements; and, 
ii) Underperformance in OSR, which results to unfunded budgets resulting to accumulation 
of pending bills. 
iii) High levels of pending bills that negatively affects effective delivery of public services 
as well as local business development; 
47. According to Sec tion 94 (1)(a) of the PFM Act, 2012, failure to make any payments as 
and when due by a State organ or a public entity may be an indicator of a serious material breach 
or a persistent material breach of measures established under the Act. In this context, A rticle 
225 of the Constitution read together with Section 96 of the PFM Act gives the Cabinet 
Secretary responsible for Finance powers to stop transfer of funds to the concerned State organ. 
In this regard, the National Treasury has provided guidance to th e County Governments on 
prompt settlement of pending bills.  
48.  As at 30th June 2024, the total stock of pending bills at the counties stood at Ksh  181.98  
billion consisting of Ksh 179.87 billion for the County Executives and Ksh 2.11 billion for the 
County Assemblies. Table 1 2 shows the County Governments pending bills as at 30 th June 
2024. 
  

 
 
  
 
32 
Table 12: County Governments Pending Bills as at 30th June, 2024 
 
49. In efforts to address the threat of the ballooning pending bills owed by the County 
Governments, the Senate recommended that all county governments pay all verified pending 
bills amounting to less than Ksh 1 billion by the end of the FY 2024/25. The Senate further, 
resolved that: 
i) County Governments prepare and submit to the Controller of Budget a payment  plan 
prioritizing payment of pending bills as a first charge on the County Revenue Fund.  
ii) The Controller of Budget takes into consideration the efforts made by a County 
Government to clear inherited pending bills when approving exchequer releases. 
iii) County Governments shall only pay pending bills contained in their respective 
procurement plans. 
iv) Supplementary budgets for County Governments are prepared in the third quarter to 
curb instances of arbitrary re-allocations out of the approved budget estimates. 

 
 
  
 
33 
50. The Controller of Budget will continue to provide regular updates on the progress made 
on settlement of eligible pending bills. Additionally, County Governments are to provide 
monthly payment plans for outstanding pending bills which aim at settling the pending bills on 
a First-In First-Out basis.  
Non-remittance of statutory deductions by some County Governments more especially 
pension contributions, posing a huge challenge to the social security of the pensioners. 
51. Data from the Retirement Benefits Authority indicates that as at March 2024, Counties 
had accumulated a total of Ksh. 90.3 billion in unremitted pension deductions. However, the 
Council of Governors in their submission to the Senate Select Committee on County Public 
Investments and Special Funds ind icated that the counties owed Ksh 40.5 billion as at March 
2023. Owing to the discrepancies in the figures, the Senate directed that a taskforce be 
established to scrutinize the pension liabilities and propose a roadmap for settling the amounts. 
The Nation al Treasury is in the process of constituting the taskforce which is expected to 
complete the verification process within 90 days once gazetted. 
Status of Equalisation Fund Disbursements and Project Implementation 
52. The Equalisation Fund is established under  Article 204 (1) of the Constitution which 
requires that one half percent (0.5) of the most recent audited revenue received as approved by 
National Assembly to be paid into the Fund. The objective of the Fund is to bring the quality of 
basic services including water, roads, health facilities and electricity in marginalized areas to 
the level generally enjoyed by the rest of the nation as far as possible. The cumulative 
entitlement to FY 2023/24 to the Fund amounts to Ksh 62.4 billion. A total of Ksh 12.4 billion 
and K sh 10.3 billion was appropriated under the first and second Policies identifying 
marginalise areas Policy. The outstanding arrears to the fund amounts to Ksh 39.7 billion. 
53. Under the first marginalization policy , which covered 14 counties, a tota l of 12.4 billion 
was appropriated to implement 360 projects in 14 Counties. The Fund has facilitated the 
completion of 253 projects across 5 sectors. Table 13 shows a summary of implementation of 
projects by MDAs. 
Table 13: First Marginalization Policy Equalisation Fund Projects as at 31st May, 2024 
Implementing MDA   No. of Projects  <50%  50%-74%  75% -89%  90%-100% 
(Completed)  
Ministry of Health  84 15 8 8 53 
State Department for  
Infrastructure, through KERRA  
84 16 3 1 64 
State Department for Irrigation  30 0 1 10 19 
Ministry of Water and 
Sanitation  
127 14 11 9 93 
State Department for Technical 
and V ocational Training  
4 4 0 0 0 
State Department for Early 
Learning Basic Education  
10 3 0 2 5 
Ministry of Energy  20 1 0 0 19 
Total  359 53 23 30 253 
Source: Equalisation Fund Board 
  
 
 
  
 
34 
54. The Second Marginalization Policy covering 34 Counties currently being implemented, 
has appropriated Ksh 10.3 billion being allocation for FY 2021/22 and FY 2022/23. As at the 
end of May 2024, the Fund had approved 1,249 projects  out of the 1,347 projects received. The 
value of approved projects amounted to Ksh 8.1 billion. 
E. Other Intergovernmental Fiscal Relations Matters 
a) Transfer of Functions and powers between the National and County Governments 
The National Government is committed to ensuring that intergovernmental relations between 
County Governments and the National Government adhere to Constitutional provisions. 
Articles 187 of the Constitution outline s the framework for transferring functions and powers 
between different levels of government. To operationalize  this Article, the National Treasury, 
through an inter -agency taskforce, developed the Public Finance Management (Amendment) 
Bill, 2023. The object of the bill was to give clear legal guidelines  on transfe r of functions 
between the two levels of government . The Cabinet considered and approved the bill on 4th 
July 2024. The Bill is awaiting consideration by Parliament.  
b) Capacity Building County Governments on Public Finance Management  
55. Section 12 (1) (j) of PFMA, 2012 mandates the National Treasury to assist county 
governments to develop their capacity for efficient, effective, and transparent financial 
management. In this regard , the National Treasury conducted regional trainings on public 
finance management targeting County Executive in the FY 2023/24. The training focussed on: 
county budgeting process; Government Financial Statistics 2014; financial reporting; public 
procurement; and  audit and compliance with fiscal responsibility principles.  The National 
Treasury together with other stakeholders,  will continue to prioritize the capacity building of 
county governments to enhance financial  management and fiscal relations between the two 
levels of government. 
c) Intergovernmental Agreements in respect of the Ad ditional Conditional 
Allocations  
56. Section 191 A-E of the PFM Act 2012 requires the National Treasury to enter into 
intergovernmental agreements with the County Governments for transfer of conditional 
allocations. The National Treasury coordinated the formulation of a model Intergovernmental 
Agreement which was submitted to the county governments for ratification. The stakeholders 
noted challenges in operationalization of the intergovernmental agreement due to duplication 
in  public participation in the budge t processes and potential delay in budget execution. 
Consequently the stakeholders have petitioned Parliament to consider repealing the Section 191 
A-E.  
d) Financing of Urban Areas and Cities 
57. County governments have established boards for Municipalities and Cities in line with the 
Urban Areas and Cities Act, 2011. Over the years, financing to Municipal and City Boards have 
largely relied on support from Kenya Urban Support Programme (KUSP) funded by 
development partners.  A major constraint facing boards of M unicipalities and Cities is 
underfunding due to lack of a criteria to inform the sharing of revenue between Counties and 
the boards pursuant to the Urban Areas and Cities Act, 2011. This is in spite of the significant 
contribution by  urban areas and cities towards county Own Source Revenues.   
 
 
  
 
35 
III. MACROECONOMIC DEVELOPMENTS AND OUTLOOK 
A. World Economic Outlook 
58. Global economy has stabilized with global growth projected at 3.2 percent in 2024 and 3.3 
percent in 2025 from 3.3 percent in 2023 (Table 14). The outlook reflects economic recovery 
in China, Euro area and UK, despite a slowdown in activity in the USA and Japan. The main 
risks to the global growth outlook relate to further escalation of geopolitical tensions, interest 
rates remaining higher -for-even-longer in advanced economies, and policy uncertainty 
attributed to changes of Government in some major economies. Global inflation has moderated, 
with central banks in some major economies lowering interest rates. International oil prices 
have moderated, but the risk premium from the Middle East conflict has increased following 
the recent escalation. 
59. Global economic output showed resilience in the first half of 2024, with modest growth 
anticipated in 2024 and 2025, mainly due to improving economic activities in the United States, 
China, and India. Global growth was estimated at 3.3 percent for 2023 is projected to continue 
at the same pace in 2024 and 2025.  However, the divergence in output across the countries at 
the beginning of the year narrowed  partly attributed to  waning cyclical factors and a better 
alignment of growth with  the potential. Even though g lobal headline inflation concerns are 
diminishing, core inflation remains persistently high. Financial market conditions have 
remained stable throughout 2024, reflecting improved global investor sentiment and a softening 
of labor markets. However, the outlook faces significant downside risks, including escalating 
conflicts in the Middle East, uncertainties  around the US elections, and consistently high 
interest rates in advanced economies. 
Table 14: Global Economic Performance  
 
Source: IMF World Economic Outlook, July 2024. *National Treasury Projection 
77. Growth in the advanced economies is projected to remain stable at 1.7 percent in 2024 
and 1.8 percent in 2025. Growth in the US has been revised downwards by 0.1 percentage points 
from the World Economic Outlook (WEO) April projections as consumption moderated and 
the labor market eased. Growth prospects for the Euro area were revised upwards by 0.1 
percentage points following strong momentum in the services sector and higher than expected 

 
 
  
 
36 
net exports in the first half of the year. The Euro area and the UK are projected to grow by 0.9 
percent and 0.7 percent, respectively in 2024.  In the emerging market a nd developing 
economies, growth is projected at 4.3 percent in 2024 and 2025, reflecting stronger activity in 
Asia particularly China and India. In Sub-Saharan Africa (SSA), economic growth is projected 
to rise from an estimated 3.4 percent in 2023 to 3.7 percent in 2024 and 4.1 percent in 2025. 
Growth has been revised downwards by 0.1 percentage points in the April WEO attributed to a 
weaker growth outlook in Nigeria on account of weaker than expected activity in the first 
quarter of 2024. Nigeria and South Africa are expected to grow by 3.1 percent and 0.9 percent 
in 2024, respectively. 
78. Global financial conditions remained accommodative boosted by positive corporate 
valuations. Global headline inflation is expected to fall to 5.9 percent and 4.4 percent in  2024 
and 2025, respectively. which is a slower pace due to higher-than-average inflation in services 
prices. World trade growth is expected to increase 3.1 percent and 3.4 percent in 2024 and 2025, 
respectively. Annual average oil prices and non-fuel commodity prices are projected to increase 
by 0.8 percent and 5.0 percent in 2024, respectively.  
Kenya’s Economic Performance and Outlook 
79. The Kenyan economy is currently unwinding from the effects of negative and persistent 
global and domestic shocks that had  pushed the economy to its lowest activi ty level. These 
shocks included COVID-19 pandemic and its ensuing effects , conflict in Eastern Europe and 
Middle East that led to global supply chain disruptions  and  the adverse effects of climate 
change from the prolonged drought in 2021 to the floods in the first half of 2024. These shocks 
escalated the cost of essential household commodities  including fuel prices, and led to a rapid 
depreciation of the Kenya Shilling exchange rate, pilling pressure on public debt.  
80. Various government interventions, structural reforms and policies have supported 
economic recovery. The economy grew by 5.6 percent in 2023 from 4.9 percent in 2022, a 
demonstration of resilience and the beginning of economic recovery. The growth was lar gely 
driven by a strong rebound in the agricultural subsector, which benefited from favorable 
weather conditions after two years of severe droughts and the robust performance of the services 
sector. The performance of the industrial sector, particularly manufacturing which has remained 
subdued. This growth momentum has continued in 2024 with the economy expanding by 5.0 
percent in the first quarter compared to a growth of 5.5 percent in the corresponding quarter in 
2023 (Table 13). 
81. The primary sector grew by 5.0 percent in the first quarter of 2024 compared to a growth 
of 5.3 percent in the first quarter of 2023. This was as a result of the robust growth in the 
agriculture, forestry and fishing sub -sector despite a contraction in the mining and quarrying 
sub sector. Activities in the agriculture, forestry and fishing sub-sector expanded by 6.1 percent 
in the first quarter of 2024 compared to a growth of 6.4 percent in a similar quarter in 2023 
(Table 15). The performance was evident in the significant increase in production of tea, milk 
and sugarcane during the quarter under review. Mining and Quarrying sub-sector contracted by 
14.8 percent in the first quarter of 2024 compared to a contraction of 11.0 percent over the same 
period in 2023. This was due to a decline in production of most minerals such as titanium, soda 
ash and gemstone. 
  
 
 
  
 
37 
Table 15: Sectoral GDP Performance  
 
Source of Data: Kenya National Bureau of Statistics 
82. Industrial sector performance remained subdued, with growth of the sector slowing 
down to 1.1 percent in the first quarter of 2024 from a growth of 2.5 percent in a similar quarter 
of 2023. This was mainly on account of a slowdown in activities in all its sub -sectors i.e. the 
manufacturing, electricity& water supply and construction subsectors. 
83. The Manufacturing sub-sector grew by 1.3 percent in the first quarter of 2024 compared 
to 1.7 percent growth in the corresponding quarter of 2023. In the manufacture of food products, 
growth was supported by tea and dairy processing inspite of the decline in the production of 
soft drink. In addition, the production of cement declined in the review period.. The  Electricity 
and water supply sub-sector also recorded a decelerated growth of 2.4 percent in the first quarter 
of 2024 compared to a growth of 3.7 percent in the corresponding quarter of 2023 supported by 
an increase in hydroelectric power generation and a decrease in thermal power generation  . . 
Activities in the construction sub-sector similarly registered a  decelerated growth of 0.1 percent 
compared to 3.0 percent growth recorded in the first quarter of 2023. The slowdown  in the 
construction sub-sector was reflected in the decline in the volume of cement consumption and 
imported bitumen. However, the volume of iron and steel imported increased during the review 
period. 
84. The activities in the services sector continued to sustain strong growth momentum in 
the first quarter of 2024 and grew by 6.2 percent compared to a growth of 6.5 percent in a 
similar period in 2023. The performance was largely c haracterized by significant growths in 
accommodation and food service, financial and insurance, information and communication, real 
estate, and wholesale and retail trade sub -sectors. Accommodation and food service activities 
reflected post COVID recovery inspite of the lingering effects of the pandemic.. Consequently, 

 
 
  
 
38 
the sub-sector grew by 28.0 percent in the first quarter of 2024 compared to a growth of 47.1 
percent recorded in the corresponding quarter of 2023.  
85. Financial and insurance sub-sector sector grew by 7.0 percent in the first quarter of 2024 
compared to 5.9 percent in the corresponding quarter of 2023  on account of increased 
profitability of the subsector . The information and communication subsector grew by 7.8 
percent compared to a growth of 9.5 percent, over the same period supported by increased voice 
traffic, internet use and mobile money despite a decline in the use of domestic Short Messaging 
Services (SMSs). Activities in Transportation and Storage sub-sector slowed down to record a 
growth of 3.8 percent in the first quarter of 2024 compared to a growth of 6.6 percent in a 
corresponding period in 2023. The growth in the sub-sector was mainly supported by increased 
activities in  Port throughput and an increase in the number of internationa l passenger arrivals 
and departures.  
86. Available economic indicators for  the first half of 2024 point to mixed performance in 
the economy reflecting sustained performance in agriculture, improved exports and services 
sector and subdued industrial sector.. In view of this and other consideration including domestic 
and external factors, economic growth is projected at 5.2 per cent in 2024 and 5.4 per cent from 
earlier projections of 5.5 per cent, respectively. This projections are underpinned by  broad-
based private sector growth and  ongoing Government interventions and strategies under the 
Bottom Up Economic Transformation Agenda (B ETA). Additionally, implementation of 
prudent fiscal and monetary policies will continue to support economic activity (Figure 9).  
Figure 9: Annual Real GDP Growth Rates, percent  
 
Source of Data: Kenya National Bureau of Statistics 
Inflation Developments 
87. The overall year -on year inflation is within the Government target range of 5±2.5 
percent largely driven by easing food and fuel  prices. Overall inflation remained stable at 4.4 
percent and 4.3 percent in August and July 2024, respectively , thereby remaining below the 
mid-point of the target for three consecutive months.. This is a drop from 6.7 percent in August 
2023, and a peak of 9.6 percent in October 2022 (Figure 10). Favourable weather conditions 
coupled with targeted government interventions have partly led to the reduction in the cost of 
food production thereby lowering food inflation. Other factors expected to support low inflation 
include the pass-through effects of the strengthening exchange rate, decreases in electricity and 
pump prices and the CBK monetary policy stance.  

 
 
  
 
39 
88. To anchor inflation expectations and address exchange rate pressures, the Central Bank 
of Kenya thr ough the Monetary Policy Committee  (MPC) tightened the monetary policy by 
raising the Central Bank Rate (CBR) from 10.5 percent in July 2023 to 13.0 percent in February 
2024. However, in the MPC meeting held on August 6, 2024, the Committee decided to lowe r 
the CBR to 12.75 per cent as the previous measures had contributed to lowering overall inflation 
to below the mid -point of the target range, stabilized the exchange rate, and ancho red 
inflationary expectations.  
89. Food inflation remained a key driver of overall year-on-year inflation though  it declined 
to 5.3 percent in August 2024 from 7.5 percent in August 2023. The easing of food prices was 
supported by increased food supply arising from favorable weather conditions , continued 
Government interventions particularly through subsidized fertilizer, and the general easing of 
international food prices. Prices of most vegetable food items increased in the month of August 
2024 compared to the same period in 2023 while those of non-vegetable food items declined 
during the same period. 
90. Fuel inflation declined to 4.7 percent in August 2024 from 14.2 percent in August 2023. 
The decline largely reflect ing the easing global oil prices and appreciation of the Kenya 
Shilling’s which resulted in a downward adjustment of pump prices ; and lower electricity 
prices. Core (non-food non-fuel) inflation has remained low and stable reflecting the impact of 
tight monetary policy and muted demand pressures.  
Figure 10: Inflation Rate, Percent 
 
Source of Data: Kenya National Bureau of Statistics 
Monetary and Credit Developments 
91. Broad money supply, M3, grew by 6.0 percent in the year to June 2024 compared to a 
growth of 13.4 percent in the year to June 2023 (Table 16). The slowdown in growth of M3 
was due to a decline in the growth of  Net Domestic Assets (NDA) particularly the domestic 
credit.  The primary source of the growth in M3 was an improvement in the Net Foreign Assets 
(NFA) of the banking system. The NFA of the banking system in the year to June 2024 
expanded by 53.2 percent compared to a growth of 29.5 percent in the year to June 2023. The 
increase in Net Foreign Assets, mainly reflected an increase in commercial banks’ Foreign 
Assets. 

 
 
  
 
40 
92. Net Domestic Assets (NDA) contracted by 0.2 percent in the year to June 2024, 
compared to a growth of 11.5 percent over a similar period in 2023. The slowdown in growth 
of the NDA reflects a decline in growth of the domestic credit to both the Government and the 
private sector. The domestic credit extended by the banking system to the Government 
decreased to a growth of 7.9 percent in the year to June 2024 compared to a growth of 13.0 
percent in the year to June 2023. Lending to other public sectors grew by 1.5 percent compared 
to a contraction of 0.5 percent over the same period.  
Table 16: Money and Credit Developments (12 Months to June 2024, Ksh billion)  
 
Source of Data: Central Bank of Kenya 
93. Growth in private sector credit from the banking system slowed to 4.0 percent in the 
year to June 2024 compared to a growth of 12.2 percent in the year to June 2023, reflecting the 
impact of exchange rate appreciation on foreign currency denominated loans and monetary 
policy tightening. Reduced credit growth was observed in manufacturing, trade (exports) and 
building and construction. These are some of th e sectors with significant foreign currency 
denominated loans 
94. The Monthly (month on month) credit flows to the private sector ha ve slowed down 
