English,Ekegusii,Domain,dup_target,encoding_ok
KICD endorses various online learning platforms to supplement classroom instruction for students.,Ekeombe keria getenerete buna amasomo akorosigwa (KICD) yarure okoboko gochia emeroberio ao ao yogosomera goetera emeroberio yeintaneti gosira amsomo ekarasi chisukuru.,Education,False,True
EACC urged Bungoma leaders to support anti‑corruption investigations.,Ekeombe keria ekenene giokorwania obokorekanu (EACC) nkiaboretie abarai ba Bungoma gisira obokongoria bwogotanga obokengeka.,Security,False,True
"Kenya signs six Global Fund grants amounting to Sh59.7 billion to support HIV, TB and malaria interventions; funding to strengthen health and community systems over three years.","Kenya kobeka eseii obokonyi bwa chibilioni sh.59.7 korua ase ekegancha gi'ense'/Global Fund, echio chigokonya gosira emeroberio ya oborwaria Bwa Enyamoreo Esese na Esosera, ogoakana oko nigo kogokong'ia oborwaria naboigo chitini chiebisaku ase emiaka etato",Health,False,True
Kenya confirms 9 more coronavirus cases bringing the total number of confirmed cases to 59. Tracing of contacts of the 59 confirmed cases ongoing.,"Kenya koenekia abanto 9 komentekana ase okoambokerigwa oborwaire bwa COVID19 bonsi amo goika abanto 59. Emeroberio ya okobwatia baria basangire gose goikana ang'e na abwarwaire abwo 59, negendererete",Health,False,True
"Reduce soil erosion: reduce on tillage and practice mulching using leftovers after harvesting, as way of reducing soil erosion 80%. CA also harvest adds manure to the soil..",Keania omogoko bweriroba riao: Keania korema riroba na egera gotuba rirob rario cover neubi eria egotigara korwa rigesa buna enchera eyemo yogokeania omogoko bweriroba riao goika 80%. CA boigo nigo ekogesa obotobu ase riroba riao ...,Agriculture,True,True
Educate students! Teach fire safety in schools.,Somia abana! Basomie buna babwenerete kwerenda ase emerero.,Education,False,True
Announinng meeting where the country formally signs UNSDCF Nutrition Joint Programme to support multisector work.,Okoomerana koraria kobeka chisei chie omoroberio oyomo oyo UNSDCF gosegeta chisegita ao ao,Health,False,True
"Mental Health Check-Up Time!Mental Health Check-Up Time! Your mental health is just as important as your physical health. Take a moment to check in with yourself today. 1. How are you feeling emotionally? 2. Are you getting enough rest? 3. Are you eating well? 4. Have you been active lately? 5. Do you need to talk to someone? Remember, it's okay to seek help if you need it. Your mental well-being matters!","Oborwaria bw'obongo bwao nigo bore obw'engencho buna oborwaria bwa kemobere. Ira chinaki bwe'ringorie rero. 1.Naki bweigwete enkoro? 2.2. Inee, nkonyora ore ogotimoka goisaine? 3.Inee, nkoragera ore buya? 4.Inee, kwabeire kogokora a masoesi bwango iga? 5.Inee, noganetie gokwana n'omonto? Inyora ng'a, mbuya korigia obokonyi ekero oboganetie. Obongo bwao oboikeranu n'egento kiengencho!",Health,False,True
"Healthcare workers require specialized training in trauma-informed care, evidence collection, mandatory reporting, and coordinated referrals for survivors.","Abakori emeremo bobochenu mbaganeirie amaorokererio abeene ase ogokonya barwaire babo komanya emechando nagekong'ia koyerwania, kobeka amo obosaiti , kobeka eripoti as ebitabu, na na okobwatera kobatoma gochia baranyore obokonyi bwa beene.",Security,False,True
Schools closed for elections? Use the break to update your voter details via *222#.,Chisukuru chiasiekirwe ase engencho yobochori? Tumia ribaga eri komanya ng'a ekadi yao yogoka chikura mbuya ere getera *222#.,Education,False,True
"Integrate trees with your livestock farming (agroforestry) for shade, windbreaks, fruit, timber, and improved soil health.","Borukania oboremi bwao bwetugo amo nemente (agroforestry)ase okonyora ekiriri, gokanya embeo enene, konyora amatunda, chibao timber, na obotobu ase riroba.",Agriculture,True,True
Land management that focuses on climate change depends on cooperation between invetors and other sector stakeholders..,Chinchera chogokora oboremi as orwaro rwoboremi abuya borengete rire nigo borengete okobwaterana ase chingencho chionsi gati ya baria mokobwaterana na obokoreri as oboremi bwa mogondo.,Agriculture,True,True
Court s continue to issues urgent certificates and raising their pleas on cases involing capital offenses.,Ebigambero biagendereire kobwata chisatibigeti chiobwango na korwa ebirero ase ebina ebinene,Health,True,True
Town dwellers can cultivate plants. Learn on the lessons of using sacks to palnt vegetables and onions.,Abanto bamenyete emechie yechitaoni nabo baranyare korema endagera. Rigia komanya buna chisemi chiogotumia emebuko gosimeka ching'eni nebitunguo.,Agriculture,True,True
Be safe from coronavirus.Washing your hands is the most important way to stop transmission. 1.Wet hands 2.Apply enough soap 3.Scrub all surfaces of the hands for 20-30 seconds. 4.Rinse thoroughly with running water 5.Dry hands with a clean cloth or single-use towel,Etange n'ebinyinyi bia Corona. Gosibia amaboko nenchera ya bene yogotanga ogoetia kwebinyinyi. 1.Esibi amaboko 2.Eyake esabuni 3.Sugua kera ensemo yokoboko ase chisekunde 20-30 4.Sibi amaboko ase amache egetacho 5.Etinyi n'egetambaa ekerabu,Health,False,True
"""The Ministry of Education reiterates that bursary forms are distributed freely and do not require payment. Any demand for money should be reported.""","""Eminisitiri yechisemi yabekire chinguru nga chibasari chiesukuru nigo chikorugwa bosa fnaigo tegaineirie nga oakane. Gosabwa besa chinde chionsi nere buya korwaipoti.""",Security,False,True
Protect kids! Report abuse or trafficking to 116.,enda abana ! Manyia abambi ogokorerwa bobe gose koibwa kwa abana goetera 116.,Education,False,True
Ministry of Health hosts forum with media partners to promote breastfeeding benefits for working parents.,"Ewizara yocheni korosia chibarasa kobwarerana na abariki ba'amangana, erio bararie obuya bwokonkia ase abangina bare emeremo",Health,False,True
"The Lands and Environment Court at Nyeri will remain closed as from 24 Agust to 7 september 2020 after 2 patients of Covid 19 were detected, to allow fumification and indoor protocols continues. Certificates are not processed this time. Cour will comense their sessions through zoom asa fronm September 21, when this sessions will start as will be guided by the Chief magistrates, strating from October.","Egetuo kia ELCR kia Nyeri giasiekirwe gochakera chitariki 24 Agosti goika 7 Septemba 2020 magega yogotoka abarwaire babere ba COVID-19, ogosiara eriogo na gwesiekerera kogendererete. Chisatibigeti tichirikorosigwa chingaki echi. Abigambero nkoigora bire ogotegerera ebina ase embeo 21 Septemba, ekero ogotegerera ebina ase ebigambero gokageire koirana, inse yoboteneneri bwomogambi omonene, Oktoba kegochaka.",Health,True,True
"Did you know the Kenya Red Cross Society offers free on-call counselling services 24/7? Call us on 1199 and we will be there for you. Since January-June 2019, our Mental Health and Psychosocial Support Services team attended to 513 calls.","Inee, nomanyete ing'a Kenya Red Cross Society mbabwate obosemia bwa bosa goetera esimi 24/7? Toakere esimi ase 1199 nao tore ase eng'encho yao. Koru Januari-Juni 2019, chitimu chiaito chia Afya y'obongo amo na Obokonyi bwa kisaikolojia nchiabwatire chisimi 513",Health,True,True
"An injection to prevent Malaria, has continued for use in Kenya has been accepted and cionfirmed by the WHO in the fiorst trial. It sells at 300 per doss, and it has been cionfirmed as the second best doss that has been confirmed","Eriogo ria esindani y'ogotanga Esosera, riabeire rigotemwa ase Ense ya Kenya rianyarire goancherwa na goetigwa ase ekerengo egetang'ani na WHO. Nigo rikoonigwa sh.300, naende riabeire esindani ya kabere ase amariogo aria aetirigwe ase ekerengo ekio .",Health,True,True
"Lowering tariffs liberalizes markets, makes access to imported commodities easier, and ultimately exposes domestic import-competing sectors to enhanced ...","Gokeania echogo nensemoeyemo ekwororobia gosoa echiro, ekwororbia obogori bwebinto mkorwa isiko aororo, emoerio yaigora okoreta endagera inkaase baria bagosindana kwangoyia...",Agriculture,False,True
Promote fair trade practices in the access of market infrastructure and business opportunities through private sector driven regulatory framework that ensures ...,Gosegeta chingencho chingiya chiebiasara ase ogosoa echiro na koagacha chinyomba chiobogachi bwerigesa noboonchoreria goetera omoroberio na amachiko yabanyabiasara oio ogoikerania ...,Agriculture,False,True
Snakes seek shelter in homes during floods. Use torches at night and avoid walking barefoot.,Chingiti ching'enda'nse origia chire obomenyo chinka chiaito ekero chietoigo. Tumia etochi botuko na erende gotatacha inse namagoro amasa aotabegeti ebiato.,Security,False,True
"DP Gachagua urges EACC to hire professionals as investigators, instead of police.","Omokonyi bwomorai bwense Rigathi Gachagua oboririe EACC korika abaoisa bene buna abatuki, rika riabanyanyimbo",Governance,False,True
Learn comfortably! Provide desks and chairs for students.,Soma mochando otaiyo! Karwe ebirogo nebimesa ase abana.,Education,False,True
"Developing dairy farming cooperative improves our economy, enhance market entry and loans. Cooperative groups bring...","Okorosia kwebiombe bwobotugi bbwechiombe chia amaberenkwangoi obogoko bwa igoro, borwe enchera gosoa echiro na amakobeso. Ebiombe nigo bikorenta mono ...",Agriculture,True,True
Ministry of Education partners with private sector to provide digital learning devices to more schools.,Eminisitiri yechisemi nkobwatana ere nechikambani korwa ebinto biria bigokonya amosomo goetera eintaneti gochia chisukuru chinyinge.,Education,False,True
Children's identities can be stolen for fraud. Parents should safeguard birth certificates and monitor credit reports.,nabo ekonyarekana nga ebiband biabana bibwe gokorera obongainereria. Abaibori brende buya chisatificate chiokoiborwa chia abana babo no komongera buna chibesa chigosao chisimi chiabo.,Security,False,True
"Understand the risks of Antimicrobial Resistance (AMR) and practice the responsible use of antibiotics in apiculture (e.g., poultry).","Manaya hatari ereo ekero amariogo okoa etugo yao etari gokora emeremo ase okwebwenia etugo, na hatari ase abanto. (AMR) na egera enchera engiya yogotumia amariogo agotanga amarwaire ase obotugi (buna chingoko).",Agriculture,True,True
Stay safe during protests! Avoid demonstration zones near schools.,Erende chingaki chieburaburu ase esukuru. Kabe are korwa aria ase chiburaburu chigoansera esukuru.,Education,False,True
Be cautious of 'distraction theft' tactics in public places.,Tigara komanyete buna abaibi chingencho abaibi bagotumia ase abanto bare abange koiba.,Security,False,True
Support talent development 2022.,Sira okogenderera kwebiegwa omwaka 2022.,Education,False,True
Highlight stories of transgender students fighting for education rights.,Karwe emegano yabanna baria batari basacha gose bakungu - bare bionsi bnagendererete korwanerera oboronge bwabo.,Security,False,True
Farmers have accepted to reach out..results shows reaching markets is one way in bee keeping.,abaremi gochaka goitaba ase engencho yogoikera ... Amairanerio nigo akworokia ng'a ogoikera echiro nenchera eyemo ase oboke …,Agriculture,True,True
Meeting to strengthen institutions to bring together all counties of Kenya on foods under KNAP,Okoumerana gokoingia orosagia rwokobekà amo chikaonti chia Kenya ase chindagera inse ya KNAP,Health,False,True
Kenya National Archives and Documentation Service digitizes educational records for easier access.,Kenya National Archives and Documentation Service yachakire omoroberio bwogoonchoreria amasomo ebitabi gochia egedichitari erio kwororobia goikera amasomo.,Education,False,True
"Actively participate in campaigns for safe, inclusive, and just community services.","Bwaterana kegima ase ogosegeta oboronge, oborendi na gokorera abanto bonsi bekenyoro buya.",Security,False,True
"Learn how agriculture can contribute to school feeding programmes by supplying fresh, local produce like kales.","Egera komanya buna oboremi boranyare goikerania omoroberio korageria chisukuru goetera obobagi bwendara korwa mogondo etarasereka, rigesa ria nka buna ebikeri .",Agriculture,True,True
"Community policing campaign in Lamu engaged youth, elders, and security agencies to strengthen early warning and reporting systems.","Oborendi bwebinyoro aaria Lamu mbabete nechinkwana chiogosegeta abasae, abakwani bebinyoro, neserikari buna bagokong'ia obomongeri komanya bwango ebikoru biobosaria na komanyia abarendi kegima.",Security,False,True
Teach children stranger danger rules and ensure they travel in groups. Report missing children immediately.,Somia abana tibakwana omonto batamanyeti gose kobwatia amang'ana yomonto batamanyeti buna enchere engiya yokwerenda na gotara amo abanto abange. Karwe amangana igoro yomonto otaoyi otari konyorwa gochia ase abambi gose porisi.,Security,False,True
"Due to outbureak of Covid 19, I have issued nationakl guidelins to control it. Clean your hands wiyth sanitiser. Keep 1 meter distance from a coughing and sneezing person,A persomn coughing and sneezing should stay in inddors and not attend meetings","Natianirie richiko riobochenu bwense kobwatekana nogotangaswa kwegiateko. Esabe amaboko gotumia chisanitaisa. Tenena oboare bwemita eyemo koru ase omonto ogokorora na goasimora. Omonto ogokorora na goasimora nigo agwenerete kobera nyomba, aare nemesangererekano yabanto.",Health,False,True
"Government to ectend curview, including various larget gatherings until may 29","Eserekali komenta amatuko y'ekafyu, na gotenenia emesangererekano ao ao goika May 29",Health,True,True
"Research on tagging livestock , it's pros and cons , aimed at knowing and how it can influence farming and crops that control diseases from farms.",Okwegia kwobokongoria goetera ebimanyi goetra kobibeka ase emebere yechitugo komanya obuya bwaye gose obobe ase mwanyabanto borengete komanya oboikeranu bwa ogosegeta ebimeri biria bigoseria obwarwaire korwa ebimeri mogondo,Agriculture,True,True
"It warned the public about the widespread misinformation online regarding claims that registration was open, stating these claims are fraudulent.","Yarwete ogokurerwa ase abanto igoro yamangama ankuma gose oborimo goetera eintaneti igoeo yokongainereria nga okwerika gwechikura nkwaigoretwe, na komanyia abanto nga chinkwana echio nechioborimo.",Governance,False,True
"Announcement of millet and sorghum adoption to promote climate-smart, nutrient-rich diets at national policy forum.","Koraria oboremi bwamaemba komenta chindagera chikoigwana nerire, bosio bwe' chingongo chinde",Health,True,True
Ministry of Education partners with Data Science Institutes to train university lecturers on data analytics applications.,Eminisitiri yechisemi nkorobwaterana ere nabaria babwate obomanyi ase obosayansi korwa amchibu gokonya mochando onde bwensi nobotenereri obuya ase abarimu beyunifasiti akomongera buya chinchera chibotenereri.,Education,False,True
Train students! Teach trafficking prevention in schools.,Somia abana! Somia buna oratange oboibi bwa abana chisukuru.,Education,False,True
Snakes bite animals in dry seasons. Clear bushes and seek immediate treatment for bites.,Chingiti chingenda nse nkorasa chire etugo aaria chingongo chinyomo. Rabia orsana na rigia obowenia bwa bwango ase etugo yao rasirwe neng'iti engenda nse.,Security,False,True
Overview of updated United Kingdom counter terrorism laws including youth diversion and enhanced risk management tools.,"Amangana amenge yamachiko akworokia buna Obomo bwa Boraya bokorwania gotanga obokebago bwokoruta chipomu, amo nomoroberio bwogokonya nabasae tibasoa obokebago obwo, boigo na nobosemia bwokobakonya gokinana na nobosareki.",Security,False,True
Advocacy group PRWG urged criminal responsibility for senior commanders whose subordinates commit misconduct and expansion of command responsibility doctrine.,Ebiombe bwabarwanereri bia abasikari baria batenerete korigia amaonchorerio (PRWG) mbamanyetie abanene ba abasikari kobogoria amamocho abasikari babo abwo bakomocha ase chigasi chiabo goetera oggochoreria amachiko as ayio.,Security,False,True
Livestock department has announced vaccination campaign in Laikipia and Kajiado.,Ensemo yobobwenia bwetugo yararirie okobeta etugo chisindani aaria Laikipia na Kajiado.,Agriculture,True,True
Thank you for your feedback. Please report all cases of corruption and bribery to EACCKenya,mbuyamono ase ebirengererio biao:kamoranche enana amang'ana ande onsi yobokurumi ase ekeombe giokorwania obokurumi ime yense ya kenya. EACC.,Governance,False,True
Report sexual harassment in school via 0800721524 – anonymous & free!,Manyia abarimu igoro yechingencho gati yabamura na abanyaroka gose chioboegi chintancheiri esukuru goetera 0800721524 otari kwemanyekania ase bosa!,Education,False,True
Be vigilant! Report school fee fraud to authorities.,Kabe nobong'aini. Manyia abatenereri bechisukuru igoro yoboibi bwechibesa chiesukuru .,Education,False,True
"In brief: Learn how climate smart agriculture (CSA)has had impact in farming . Learn on means, benefit and challenges which is likely to be faced in Kenya. Learn on progressive farming using CSA for the sakevof farmers and resilient to changes in Kenya. Kenya is a country blessed with great potential in kenya, where agriculture has high responsibiliy in the economy anf earnings for millions. However,agriculture has it's fair share die to climate change, and flooding which are unpredictable, and soil erosion. Agriculture that emphasizes climate in Kenya offers an innovative solution not only to support farmers to get accustomed to climate change, also to ensure long term progression.","Ase obweng'e: Rigia komanya buna oboremi obuya (CSA) buna bogendererte goonchoreria emegondo yoboremi Kenya 's. Egera igoro yechinchera, obuya, naboigo emechando erengete gochooreria gochia oboremi obuya CSA okwegera ugoro yoboremi bwekwegendereria sna obwegwokong'ereria aiga Kenya. Kenya nense esesenirie nobotenenku bowboremi, ase abaremi babogoretie ensemo enene yoboko bwense yaito na ebitoki ase chimirioni chinyinge. Nonya nigo, oboremi obo nigo bore nomochando omonene ase engencho yogoonchoreria kwerire, na ogocha kwomobaso gose etoigo etamanyekaneti, na ogsareka kweriroba. (Oboremi Kenya mbore namairanerio tari rioka ase ogokonya abaremi korende boigo gokonya aberemi goonchoreria gochia oboremi bokogenda nerire ase rigesa riabotambe.",Agriculture,True,True
Announcement of STEPS survey findings showing increased intake of fresh produce and physical activity among adults.,Okoraria rigesa rioboringori nekeombe gia STEPS koorokia obonge bw'okoragera okoyia na emeremo yomobere ase abanto abanene,Health,True,True
resilient and varied agricultural systems. iii. Prioritize expansion of ... Improve market access and infrastructure: Develop market infrastructure and.,"Ogwekomereria na oboremi bwomoroberio omuya. iii. Nigo borengete okogareyia ... Kwororobi gosoa echiro, obobogoria obuya nechinyoma chikogacha rigesa: Rosia omoroberio bwechiro, obobogoria na obogachi obuya na.",Agriculture,True,True
Ministry of ICT launches training programs on digital safety and privacy targeted at secondary school students.,"Eminisitiri Yamangan, Gokwanerana na Egetekinorochia (ICT yaansire omoroberio okwegeria ligoro yokwerenda gedichitari na kogacha buya gose gotaikerwa nonde moao ase abana bechisukuru chisekenderi.",Education,False,True
"Adolescent mothers need extra emotional, nutritional, and medical support. Communities are urged to reduce stigma and promote inclusive care.","Abang'ina abasae mbaganatie obokonyi bwa ebirengererio,endagera na oborwaria.Ebisaku biasabirwe gokeia oboiroku na gosira oborendi bwa amo.",Health,False,True
Kenya and Indonesia held a Nairobi–Mombasa workshop to share community based approaches and draft a memorandum of understanding on PCVE collaboration.,Kenya na Indonesia mbabete negeikaranso kia Nairobi – Mombasa gosanga buna ebinyoro biranyare korika amang'ana okoigwanana gose kobwatana igoro yogotanga ogosarigwa ebirengererion gwancha obokebago bwogotumia chinguru (PCVE) ase oboamo.,Security,False,True
Join us in the fight against corruption. Be part of the solution.,Tobwatisies ase ekinano nobokengeka. Kabe oyomo ase okoreta ekeganeirie.,Security,False,True
Do not leave electrical appliances plugged into sockets when not in use.,Tobaise gotiga ebinto biria bigotumia esitima bisomekire ase esoketi ekero otari kobikorera egasi.,Security,False,True
National Research Fund hosts annual symposium on latest research trends and outcomes in digital education.,Chibesa chiomoroberio omonene bwa'masomo okorigia obomnyi oboyia nkorigania ere ogocha amo gwokomanyekania obokongori bwamasomo oboyia nayarorekanire goetera chisemi chiegegedichitari ase chisemi.,Education,False,True
Good morning. We process number plates within 7 working days. Never deal with brokers. Report cases of corruption to @EACCKenya,Bwakire. nigo tokorosia chinamba chiegari yao ase amatuko yemeremo 7. Tobaise kwebwaterania amo nabaria bagati gose chiburoka. Enana mang'ana ande onsi arengete obokurumi ase ekeombe ekenene giokorwania obokurumi eacc.,Governance,False,True
"NPS remains committed to working closely with local communities, National Government Administration Officers, and other stakeholders to promote peaceful coexistence and ensure the safety of all citizens, residents, and visitors through sustained disarmament and community policing initiatives, the statement read.","Ekeombe kia abasikari bobokoreri (NPS) nkierwete gokora emeremo yaye ase okobwaterana nebinyoro, abakoreri obokoreri bweserikari enene, nabasangi bande gosegeta oboamate obuya nokomenya nomorembe buna enchera eyemo oborendi ase abanto bonsi,abamenyi, na abageni goetera okorusia chibinduki ase amaboko abanto nomoroberio bwabarendi boborendi , buna enkwana eio yatebete.",Governance,False,True
EACC marked national celebrations highlighting corruption's impact on dignity and services.,Ekeombe giokorwania obojkengeka (EACC) ekero kiegeikaranso kierituko rinene okorurerwa igoro yobokengeka kiarengete gosegeta obwegenwa ase obokoreri.,Security,False,True
Opinions and latest news. Thoughtful detail. Digital agriculture: Great in helping small scale farmers to overcome challenges of COVID 19. As we approach..,Amangana amayia na amaikeranu. Ebirengererio bia'ime. Oboremi bwegechiditchiari: Ekenene ase ogokonya abaremi bemegondo emeke erio kobua omochando bweendwari ya COVID-19. Gatore ang'e goikera ...,Agriculture,True,True
"An analysis assessed police tactics used during mass demonstrations, focusing on proportionality, arrests, and rights-based policing.","Amasomo abeene igoro yabasikari nkworokia kore buna abasikari bakoererania ekerogo korobererekana, bagotumia chinguru koreng'ana nobonge bwabanto, nagoetera enchera yekemwanyabanto.",Security,False,True
"Appreciate how mixed farming has helped farmers to reap big from small holding, increase yields and satisfaction.","Rora buna okoburukania ebimeri mogondo biakonyire abaremi bemegondo emeke ase ebinyoro, gokinia ebitoki na omoigoto.",Agriculture,True,True
"Mark in your calender events & meetings by county government, large stakeholders meeting in fish farming. Yo come togeter and learn.",Beka ekeriorokererio ase ekarenda yao igoro yomiosangerekano bwokota obokoreri ang'e. oyio orarete baria bonsi amo baria bakobwaterna ase ensemo yoboremi buna bareranie na gosoma.,Agriculture,True,True
Support nomads! Fund mobile schools for pastoralists.,Sira baria bakong'anyang'anya! Karwe chibesa ase abatugi bokong'anyang'anya .,Education,False,True
Criminal gangs exploit children for begging. Report such cases to the police for rescue and rehabilitation.,Ebibago nigo bigotumia ribaga riabana gotenyara ase ogosaberera. Manyia abasikari kobakonya na kobarongei.,Security,False,True
A meeting to explore ways and plans on foods before 2025,Okoraria gwokoumerana korigia chinchera chiomoroberio bwechindagera nyuma ya 2025,Health,False,True
Fthers are requested to learn on how to wash their babies and to cloth them and soft praising them as one way to confirm an organized family,"Ise abana baboriigwe bamanye kobasibia abana babo, kobaochoreria chianga nakobagombia abana babo abake buna enchera eyemo yokoenekia eamate engiya",Health,False,True
KUCCPS recalls 2023 KCSE placement letters due to fee structure changes.,Ekeombe keria ekenene getenerete korangeria abana gochia eyunifasiti KUCCPS giasabire amarube yogosoa chikorehi ase abana bakorete esekenderi KCSE omwaka 2023 ase engencho yamasomo abosa.,Education,False,True
Mock elections in all schools next Friday – prepare your manifesto now!,"Ogochora kwa bari bake gotenenera amasomo ewiki egocha rituko ria etichi gatano, eariganie ninki ogochia komanyia abanto una ekerenga kiao, eki otenenerete namachiko obogambi bwao!",Education,False,True
"The Minstry of Health has appealed to all Kenyans to adhere to the opreventive measures to avoid MPOX infections, due to inceasing number of new infections, and put children at high infection rates","Ewizara yobobwenia yabasabire abakenya kobwaterera mono ebitambokero bia ogotanga okoambokera Kwa Mpox, kobwatia okomentekana Kwa abanto barwarete,na abana koba ase obokong'u mono bw'okwambokerigwa.",Health,False,True
"Announcing the lauch of Country plan that prioritizes maternal-child nutrition, agriculture‑education integration and multisector tracking.","Okoraria omochakano kobeka chindagera chia abangina amo na abana, gosangiwa amaegerio yoboremi na gotunyana ase chinsagia chinyinge",Health,False,True
"[4Ts Initiative] Track, Trace, Talk, and reTurn programme launched for school re-entry of vulnerable children, especially girls affected by pregnancy","Omoroberio omuya nebitamboero biabekirwe gokonya komanya, gosirana, kobwatania abana baria batari kwenyara, mono kegima abangina gose abanyaroka baria bare morito, gose abaibori abake koirana esukuru.",Education,False,True
"Information archiving in a technology is important for farmers to reach other farmers, potentcal buyers, and influential sellers and buyers of their products., good living...","Obogachi amangana ase enchera yegetekinorochia boigo nkorwa bore obokoreri ase chinchera ao ao echio chiranyare gokonya abaremi goikera abamwabo, abagori bechinguru na abaonia berigesa riabo, okomenya buya ...",Agriculture,True,True
Kenya continues to record increasing malaria as a result of change of environment. World Malaria Day was was celebrated recently is used to comemorate ?????,Kenya kegendererete korika okomentakana gw'esosera ekorentwa n'obwonchoreria bw'embeo. Rituko Riesosera Ense Engima erio riaetete bwango iga nigo rigotumeka buna okoinyora obuya bw'okogania goonchora emeroberio ya afya yabanto bonsi egere enyare korwani amakong'u aya agendererete.,Health,False,True
Good evening. Please note the Duty field has been updated as PAID and your records were updated. You can now view your vehicle details via the service portal.,Bwairire buya.kamoranche inyora ng'a ebango yaikeranire koorokiwq ng'a yaakanirwe. Aseigo amakaratasi ao aorokirie goakanwa.,Governance,False,True
Children's behavior is a sign of communication to help its mother understand its problem,"Gotumia ebiorokererio bi'amaboko nigo egokonya abana abake komanya eki baganeti bwango, erio gokei obokongu ase omoreri n'omwana .",Health,True,True
"Scientist have confirmed that the mosquito that transmits malaria in East and Northern Africa, has become immune to medication that the fight to eliminate mosquitoes has been given priority in this regions.","Abanasayansi banyorire ng'a eumbu ekoambokeria Esosera Africa ya mocha na irianyi, yatwarire okonara na korwania eriogo ria ogoita chiumbu erio riatumekire ase engaki entambe ase chinsemo echio.",Health,True,True
Free bus fare for all TVET students reporting in January – present your admission letter.,"Abana goakanerwa chibesa chiokorina egari ase abana besukuru chiobobundi nechisemi chiokwegendereria (TVET) bagosoa omotienyi omotang'ani January, karue rirube riokorangerigwa kwao.",Education,False,True
SA sensitizes on disease control on livestock as well as health tips.,PSA: nkwegeria bareigoro yogotanga amarwaire yetugo nechingencho chiobochenu chirure.,Agriculture,True,True
Update safety standards 2022.,Onchoreria emeroberio yoborendi omwaka 2022.,Education,False,True
"IEBC to visit 2,000 schools next week – ensure all Form 4 have voter cards.","Ekeombe keria ekenene getenererete chikura (IEBC) netarere chisukuru 2,000 ewiki egocha, rora ng'a abana bonsi besekenderi bekerasi gia 4 mbabwate chikadi chiekura.",Education,False,True
UN concerned over protest deaths; calls for accountability.,Obiomo bwechinse chikwegambera (UN) nechandegete igoro yamakweri abaria bare koroberekana; baboririe eserikari kobogoria obobe obwo.,Security,False,True
Mechanisms through which the ICIPE push-pull technology conquers the fall armyworm. ICIPE. PlantwisePlus Knowledge BankVideo Factsheet 12 September 2024.,Ebitambokero goetera ebio ICIPE bigosegeta etekinorochia mbire nobobui goita amakonde buna chingeti. ICIPE. PlantwisePlus Knowledge BankVideo Factsheet 12 September 2024.,Agriculture,True,True
Opening of the Coast Regional Anti Terrorism Police Unit headquarters to improve responses to terrorism cases.,Ogochaka na koigorwa kwegekosi gia Porisi aaria chinsemo chia Mombasa buma oboikaranso bwaye obonene erio gokinana nobokebago bwokoruta chipomu gokongia gokinanan nobokebago obwo.,Security,False,True
"Official statement reaffirming Kenya's commitment to front-of-pack labeling, food marketing restrictions, and cross-border policy coordination.","Eropoti yabene ekwenekia okwerwa rwa Kenya ase okobeka ebimanyererio ase chindagera, ebitango ase okoonigwa na gochika amachiko ase chimbebe",Health,False,True
Persons with disabilities face higher risks of violence. Services must meet accessibility needs and provide inclusive support.,Abanto abaremaru nigo bagokorerwa bobe kobua abanto bande. Ogokonywa kobarengete goika goikeranie buna bagoikerwa nokogania kwabo ase bonsi.,Security,False,True
"Climate-smart agriculture (CSA) is an approach that helps guide actions to transform agrifood systems towards more productive, sustainable and resilient ...","Oboremi borengete ebimeri biria bokoremereria ogoonchoka kwerire na egurargura (CSA) nenchera erengete gokonya ogoonchoreria gwechiro yendagera terio bobe nechiguru ase okonyora ebitoki, okogenderera na ogwetenenera...",Agriculture,True,True
"To facilitate increased productivity and agricultural output through extension, advisory support services and technology application 2. Promote market and ...","Kworokereria igoroyerigesa riagoro na okonyora okuya korwa oboremi goetera obotebereria korwa eserikari, Ookoreri bwobosemia na gotumia etekinorochi 2. echiro engiya na ...",Agriculture,True,True
"Circumscision is a painful step which leaves behind permanent thoughts, and can cause menta health",Okoarokigwa negetambokero kiobororo kegotiga magega ebirengereri bitakoera na eranyarekane korenta oborwaire bwobongo,Health,True,True
Host panels for victims of ethnic discrimination.,Kabe nechinkwana chiogosemia na gokonyana ase baria bapaguriigwe kebosaku.,Security,False,True
Monitor recovered public assets and advocate for their use in community welfare projects,Mongera buna enibo eria baibetwe na koiranigwa na gosuguma korora yatumekire gokora emeremo yogokonya ebinyoro.,Security,False,True
"Local leaders in Lamu East have urged residents to unite and elect visionary leaders ahead of the upcoming general elections, citing slow development in the region. They urged the Bajuni community to support leaders committed to service and good governance. #KBCniYetu ^MM",Abarai ime ya lamu ya mocha baboririe abamenyi kobwaterana na gochora abarai babwate amaroro bosio bw'obochori obonene nagokwanera amagenderero ang'ora ase ensemo eyuo. Barure okoboria ase egesaku kiababajuni kobwateseia abarai baria bamagenderero no'bokoreri.#kbcniyetu^mm,Governance,False,True
Community forums help address cultural barriers and promote health-seeking behavior among mothers.,Chibarasà chi egenka ngokonya chire korusià ebitàngo ase emegiro na gosegetà chiumbu chinguya ase abàngina,Health,False,True
