English,Ekegusii,Kiswahili
Don’t be insatiable in any luxury. Don’t be greedy in the things that you eat.,"Toba oyogosanera kera ebinto bi’okwegokia, gose toba omosomba bw’endagera.",
"For overeating brings disease, and gluttony causes nausea.","Ekiagera okoria okonge nigo gokorenta oborwaire, enda embe nigo ekorenta ogosareka kw’omoyo.",
"Because of gluttony, many have perished, but he who takes heed shall prolong his life.","Abanto abange bakuure ase okoria bobe, oyokwebachera obonyandambe, ere natambeyie obogima bwaye.",
"Honor a physician according to your need with the honors due to him, for truly the Lord has created him.","Omoe omogwenia esiko yaye emogwenerete, ase engencho yemeremo agokora asore, ekiagera ere boigo atongetwe n’Omonene.",
"For healing comes from the Most High, and he shall receive a gift from the king.",Ekiagera ekeegwa kiaye kioborwaria nigo kerwete ase Omonene; nere nigo akonyora ekeegwa korwa ase omorwoti.,
The skill of the physician will lift up his head. He will be admired in the sight of great men.,"Obomanyi bwomogwenia nigo gokomorentera okomanyekana, nere nigo akonyoora esiko ase egati ya abanene.",
The Lord created medicines out of the earth. A prudent man will not despise them.,"Omonene nigo atongete amariogo onsi korwa ase riroba, na omonto omong’aini takonyaara koyasiereria.",
"Wasn’t water made sweet with wood, that its power might be known?","Inee, tari ase enyimbo amaache aonchoretwe agakorwa amaya erio Omonene aborokie abanto Chinguru chiaye?",
He gave men skill that he might be glorified in his marvelous works.,"Omonene nigo abaete abanto chiseemi nobomanyi, erio ere atogigwe ase emeremo yaye yogokumia.",
With them he heals and takes away pain.,Ere nigo akobagwenia abanto ase amariogo na kobaruseria obosareru;,
"With these, the pharmacist makes a mixture. God’s works won’t be brought to an end. From him, peace is upon the face of the earth.",omwochogania amariogo nigo akoroisia ogwochoganigwa kwaye. Emeremo y’Omonene teri nomoerio; obosera bw’emebere ase ense nigo bokorwa ase are ere.,
"My son, in your sickness don’t be negligent, but pray to the Lord, and he will heal you.","Aye omwana one, ekero orarware tobaisa koba omworo ase engencho yoborwaire, korende omosabe Omonene nere nakogwenie.",
"Put away wrong doing, and direct your hands in righteousness. Cleanse your heart from all sin.","Tiga amamocho ao, bwerwe gokora amaya, na gochena enkoro yao korwa ase ebibe biechingeencho chionsi.",
"Give a sweet savor and a memorial of fine flour, and pour oil on your offering, according to your means.","Omorwere Omonene ekeng’wanso kiogosambwa kierimisu rigiya, nekeng’wanso ki’obosie obonuke gi’okoinyoria. Obiiterere ebing’wanso biao amaguta koreng’ana nokonyoora kwao.",
"Then give place to the physician, for truly the Lord has created him. Don’t let him leave you, for you need him.",Erio ayande oyatigere omogwenia; ekiagera Omonene nere omotongete tobaisa komotiga arue asore ekiagera nomoganetie.,
There is a time when recovery is in their hands.,Ebiro mbire ekero okogwena kogoetera ase omogwenia.,
For they also shall ask the Lord to prosper them in diagnosis and in healing for the maintenance of life.,"Ekiagera barabwo boigo nigo bagosaba Omonene abae okonyaara ase oboringoria bwabo, ase okogwenia ase ogotoria obogima.",
"He who sins before his Maker, let him fall into the hands of the physician.","Omonto ogokora ebibe mamincha yomotongi oye, motige agwe ase amaboko yomogwenia.",
"My son, let your tears fall over the dead, and as one who suffers grievously, begin lamentation. Wind up his body with due honor. Don’t neglect his burial.","Aye omwana one, omoreere omonto oria okuure; rera ase obororo bworokie amayianda ao. Oyobogorie omobere oye ase amasikani agwenerete gose aye tobaisa gosiereria ogotindekwa kwaye.",
"Make bitter weeping and make passionate wailing. Let your mourning be according to his merit, for one day or two, lest you be spoken evil of; and so be comforted for your sorrow.","Orere ase obororo nenkoro yao, oikeranie ebirero buna egwenerete ase oria oraarire, okubie amatuko abere goika atato tobaisa gocha goteebwa; erio eremigwe korwa ase ogoichana kwao.",
For from sorrow comes death. Sorrow of heart saps one’s strength.,"Ekiagera omoichano nigo okorenta amakweri, n’omoichano bw’enkoro nigo okonyunyunta chinguru chi’omonto.",
"In calamity, sorrow also remains. A poor man’s life is grievous to the heart.","Ekero omonto arure ase ense, omoichano oye nigo okoera, korende obogima bw’obotaka nigo bokoremaria enkoro.",
"Don’t give your heart to sorrow. Put it away, remembering the end.",Aye tibwanchera enkoro yao egamberwe nomoichano; oyoserie omoichano erio aye korengereretie omoerio oo.,
"Don’t forget it, for there is no returning again. You do him no good, and you would harm yourself.","Tobaisa kweba buna okoirana magega tikoiyo, tokonyaara komokoonya nyagosira gento kende naende nigo ogwechaanda aye omonyene.",
"Remember his end, for so also will yours be: yesterday for him, and today for you.","Oinyore buna naye nokwe buna ere akuure, igoro nere, ankio naye.",
"When the dead is at rest, let his remembrance rest. Be comforted for him when his spirit departs from him.","Ekero nyagosira akobekwa ase ogotimoka ime ase oboina, okomoinyora gotigwe, naye tobaisa kogenderera komoreera ekero omoyo oye orure aroro.",
The wisdom of the scribe comes by the opportunity of leisure. He who has little business can become wise.,"Ebiro nigo bikomoa omosomi chingaki chikonyoora obong’aini, omonto obwate emeremo emeke nabo aranyare konyoora obong’aini.",
"How could he become wise who holds the plow, who glories in the shaft of the goad, who drives oxen and is occupied in their labors, and who mostly talks about bulls?","Inaki omonto ore ase obokombe riika aranyare koba nobong’aini? Omogooko oye nogotema chiombe na gochiraa chikuruure obokombe, boigo chinkwana chiaye chionsi nigo chibogoretie amang’ana yobotugi!",
He will set his heart upon turning his furrows. His lack of sleep is to give his heifers their fodder.,Ebirengererio biaye nogotema chiombe mogondo na korageria chimoori chiaye.,
"So is every craftsman and master artisan who passes his time by night as by day, those who cut engravings of signets. His diligence is to make great variety. He sets his heart to preserve likeness in his portraiture, and is careful to finish his work.",Naboigo ere ase kera omokori emeremo nomobachi onde bwensi ogokora emeremo obotuko n’omobaso; abakobaacha amagena bakorigia chinchera chinyia; nigo bagokora omokia koroisia emegwekano emiya boigo bageesa goika botuko ase ogokoora emeremo yaabo.,
So too is the smith sitting by the anvil and considering the unwrought iron. The smoke of the fire will waste his flesh. He toils in the heat of the furnace. The noise of the hammer deafens his ear. His eyes are upon the pattern of the object. He will set his heart upon perfecting his works. He will be careful to adorn them perfectly.,"Boigo nomoroisia ebioma ase eriiko riaye ase agosunyuntera ebioma nigo akorengereria keria agokorera ebioma biaye; ere nigo agosambwa nomorero, ogiramora na koremereria riberera, eriogi riogokong’onta nechinyundo riasaria amato aye, na gotogoria amaiso aye gochia ase ekioma keria akoroisia. Ere nigo abegete enkoro yaye ase ogokoora keria akoroisia ase oborigereria obonene goika atabokie omogwekano oria arigetie.",
"So is the potter sitting at his work and turning the wheel around with his feet, who is always anxiously set at his work. He produces his handiwork in quantity.","Boigo omoroisia chinyongo ase emeremo yaye, ere nigo akorirundia rigari ase okogoro kwaye, ere nigo arendete emeremo yaye goika ogeesa erio aikeranie ekerengo giechinyongo keria keganeirie.",
He will fashion the clay with his arm and will bend its strength in front of his feet. He will apply his heart to finish the glazing. He will be careful to clean the kiln.,Ere obomba-bomba esike ase amaboko aye erio oyetacha na amagoro aye. Obeka ebirengererio kegima ase ogokoora emeremo yaye naboigo oba aroro goika nonya mbotuko gochena ekeoreri kiaye.,
All these put their trust in their hands. Each becomes skillful in his own work.,"Abwo bonsi nigo basemeretie amaboko abo, na kera oyomo nigo are nobomanyi ase emeremo yaye.",
Without these no city would be inhabited. Men wouldn’t reside as foreigners or walk up and down there.,Batabeti aroro omochie tokoagacheka; na abanto tibakoyotaarera gose komenya aroro.,
They won’t be sought for in the council of the people. They won’t mount on high in the assembly. They won’t sit on the seat of the judge. They won’t understand the covenant of judgment. Neither will they declare instruction and judgment. They won’t be found where parables are.,"Nonya nabo, abanto aba tibari gosoa ase ebigambero ebinene gose koegwa obonene ase egeikaranso ki’omosangererekano. Barabwo tibari abanachi ebiina gose tibari nobomanyi igoro yokonachwa ebiina.",
But they will maintain the fabric of the age. Their prayer is in the handiwork of their craft.,Tibakonyara gotebereria okonachwa ebiina okwo gose tibana kororekana bagokwana emereng’anio.,
Not so he who has applied his soul and meditates in the law of the Most High. He will seek out the wisdom of all the ancients and will be occupied with prophecies.,"Korende ere oria okorigia kweorokereria amachiiko y’Omonene, nigo akorigia obong’aini bwa abakoro, na boigo gotunyana aria akwanetwe na ababani.",
He will keep the sayings of the men of renown and will enter in amidst the subtleties of parables.,"Ere nigo akogacha chinkwana chia abanto abasike, na gotegora chimbachero chire ime ase emereng’anio.",
He will seek out the hidden meaning of proverbs and be conversant in the dark sayings of parables.,"Nigo akounenkia chingeencho chibisegete ase emereng’anio, nechimbachero chinkong’u tichiri egento ase ere.",
"He will serve among great men and appear before him who rules. He will travel through the land of foreign nations, for he has learned what is good and evil among men.","Ere nigo akobakorera abanene, na gwesookia ase obosio bwa abarai; nigo agotaara ase chinse chia isiko naboigo bw’emanyeire obuya nobobe bwa abanto.",
"He will apply his heart to return early to the Lord who made him, and will make supplication before the Most High, and will open his mouth in prayer, and will ask for pardon for his sins.","Nigo akoboka mambia chuni ase okwerua nomokia ase okomosasiima Omonene oyio omotongete; nigo akomoirera Omonene ogosaba kwaye, oigora ebikoba biaye ase ogosorora naboigo gosaba amaabera ase amamocho aye.",
"If the great Lord wills, he will be filled with the spirit of understanding; he will pour forth the words of his wisdom and in prayer give thanks to the Lord.","Bun’Omonene ore omonene kegima arigetie, ere nigo akomoichoria omonto oyio obong’aini, nere naitororoke amang’ana yobong’aini na komoakera buy’Omonene ase ogosaba kwaye.",
"He will direct his counsel and knowledge, and he will meditate in his secrets.","Ere nayabogorie amorokererio nobomanyi bwaye buya, na korengereria mono igoro y’obobisi bw’Omonene.",
He will show the instruction which he has been taught and will glory in the law of the covenant of the Lord.,"Naorokie obomanyi bwaye eorokereirie, na gwetogeria ogochika n’okobwatana kw’Omonene.",
"Many will commend his understanding. So long as the world endures, it won’t be blotted out. His memory won’t depart. His name will live from generation to generation.","Obomanyi bwaye inabotogigwe nabaanto abange, naborobwo obwo tibokwebwa nonya ng’ake. Chinkuma chiaye tichigosira, nerieta riaye inarinyorwe ase ebiare bionsi.",
Nations will declare his wisdom. The congregation will proclaim his praise.,"Ebisaku inabirarie obong’aini bwaye, na emeganda y’abanto inayatore ogotogigwa kwaye.",
"If he continues, he will leave a greater name than a thousand. If he finally rests, it is enough for him.","Ere namenye obogima obotambe, natige erieta rikumete kobua bonsi; nayio nabe amoisanire ere ekero arakwe.",
"Yet more I will utter, which I have thought about. I am filled like the full moon.",Ninde nayande amange ayio inche narengereirie ndakwane koreng’ana buna omotienyi orabire kegima.,
"Listen to me, you holy children, and bud forth like a rose growing by a brook of water.","Montegerere inwe abana abaya, mosiiche buna ebisicha bia amaua y’obwanchani ayio asimekire rooche mbarabare.",
Give a sweet fragrance like frankincense. Put forth flowers like a lily. Scatter a sweet smell and sing a song of praise. Bless the Lord for all his works!,Sokia rimisu rigiya buna eriekoroso na gosiicha buna amaua yamagoma. Siarera rimisu riaino ase amateera yogotogia mobake Omonene ase amakora aye onsi.,
Magnify his name and give utterance to his praise with the songs on your lips and with harps! Say this when you utter his praise:,"Togia obonene bw’erieta riaye, motogie goetera ase chingeero chikomotogia, momotogie ase ebikoba biaino namakano.",
"All the works of the Lord are exceedingly good, and every command will be done in its time.","“Rora ebinto bionsi nigo biatongirwe n’Omonene ekiagera birobio nebiya mono. Kera keria achiikire, kerokio inagekoreke ase ebiro biaye.”",
"No one can say, “What is this?” “Why is that?” for at the proper time they will all be sought out. At his word, the waters stood as a heap, as did the reservoirs of water at the word of his mouth.","Tobaisa koboria “Ngento kieke?” Gose, “Eke negiaki?” Ekiagera intwe inatwegere ebio bionsi ase chingaki chi’Omonene. Ase ring’ana riaye, amaache nigo agotiga goiteka yebekerania; ase ogokwana kw’omonwa oye amaache nigo amenyete ime ase ekiage kiaye.",
At his command all his good pleasure is fulfilled. There is no one who can hinder his salvation.,"Ase ogochika kwaye kera keria arigetie nigo kegokoreka, onde taiyo oranyaare gokeyia chinguru chiaye chi’ogotoria.",
The works of all flesh are before him. It’s impossible to be hidden from his eyes.,"Amakora yebitongwa nigo are maiso marore ase are ere, kende tikeiyo keranyaare kobiseka korwa ase obosio bwaye.",
He sees from everlasting to everlasting. There is nothing too wonderful for him.,Ere nigo akorora kare na kare na tikeri egekone ase ere.,
"No one can say, “What is this?” “Why is that?” for all things are created for their own uses.",Tobaisa kobooria “Nkieke?” Gose “Eke negiaki?” Ekiagera kera egento nigo getongire ase emeremo yaye.,
His blessing covered the dry land as a river and saturated it as a flood.,Ogosesenia kwaye nigo kogoichoria ense enyomo buna ase orooche na gochinyiyia buna chioro chia amaache.,
"As he has made the waters salty, so the heathen will inherit his wrath.","Endamwamu yaye nebiseerie ebisaku, buna koreng’ana akoonchora amaache amaya aba ay’omonyo.",
His ways are plain to the holy. They are stumbling blocks to the wicked.,"Chinchera chiaye nigo chire chindonge ase baria bamoirogete, korende ase baria ababe chinchera chiaye nigo chire nebitango.",
Good things are created from the beginning for the good. So are evil things for sinners.,"Ere Omonene nigo atongete ebinto ebiya ase baria bare abaya korwa agwo omochakano bw’ense, korende ase baria ababe ere nigo atongete ebinto ebiya naboigo ebibe.",
"The main things necessary for the life of man are water, fire, iron, salt, wheat flour, and honey, milk, the blood of the grape, oil, and clothing.","Okogania kwengeencho ase Mwanyabaanto na amaache, omorero, ebioma nomonyo,; obosie, amabeere, oboke, edivai amaguta nechianga.",
"All these things are for good to the godly, but for sinners, they will be turned into evils.","Ebi bionsi nigo bire ebinto ebiya ase baria bamosigete Omonene, korende birobio nigo bikoonchoka biaba ebibe ase abanyabibe.",
"There are winds that are created for vengeance, and in their fury they lay on their scourges heavily. In the time of reckoning, they pour out their strength, and will appease the wrath of him who made them.","Nchireo chimbeo chiatongetwe kobaa abanto egesusuro, na chirochio ekero chiabeire nigo chikorwa egesusuro ekenene. Ase chingaki chikiina, nigo chikoorokia okobua kwaye ase ogotoereria endamwamu y’Omotongi obo.",
"Fire, hail, famine, and death— all these are created for vengeance—","Omorero, embura yamagena, enchara n’oborwaire; ebi bionsi nigo biatongetwe bibae Mwanyabaanto egesusuro.",
"wild beasts’ teeth, scorpions, adders, and a sword punishing the ungodly to destruction.","Amaino yeching’iti chintindi, amaagaga nechingeenda inse, naboigo omoro okobaa egesusuro baria batamoirogeti Omonene ase ogoita.",
"They will rejoice in his commandment, and will be made ready upon earth when needed. In their seasons, they won’t disobey his command.","Bionsi nigo biraikeranie ogochika kw’Omonene; inabibe ang’e ase ense komokorera emeremo, na ekero ebiro biraike tibikogenda mamincha nogochika kwaye.",
"Therefore from the beginning I was convinced, and I thought it through and left it in writing:",Inche nabeire nobomaene igoro ya ayio onsi korwa omochakano; nayarengereirie na koyaitona ase okoyariika.,
All the works of the Lord are good. He will supply every need in its time.,"Emeremo y’Omonene yonsi nemiya, ere nigo akobaa abanto amagania abo ase ebiro bigwenerete.",
"No one can say, “This is worse than that,” for they will all be well approved in their time.","Tobaisa goteeba: “Egento eke nekiya kobua keria,” ekiagera ebitoki bia kera ekemo mbirorekane ase ebiro bigwenerete.",
"Now with all your hearts and voices, sing praises and bless the Lord’s name!","Ase igo bono, tera ogotogia ase enkoro yao yonsi na koritogia erieta ri’Omonene.",
"Great travail is created for every man. A heavy yoke is upon the sons of Adam, from the day of their coming forth from their mother’s womb, until the day for their burial in the mother of all things.","Emeremo emerito nigo yatongetwe ase Mwanyabaanto bonsi, chigurube chindito nigo chire ase Mwanyabaanto bonsi korwa engaki baiboretwe goika ekero barairane sobo ase orotu, orwo narwo ng’ina abanto bionsi.",
"The expectation of things to come, and the day of death, trouble their thoughts, and cause fear in their hearts.",Obwoba n’okwegosa kwabo gw’enkoro nokoiroka kwabo nigoro yerituko riogokwa.,
"From him who sits on a throne of glory, even to him who is humbled in earth and ashes,",Ayio nigo akobanyora bonsi: korwa omorwoti ase obonene bwaye goika ase omwere oria ogoikaransa ase eubi na ase riibu;,
"from him who wears purple and a crown, even to him who is clothed in burlap,","korwa ase omonda nechianga chiaye chimonyinga nekegogwa ase omotwe oye, goika ase omotaka okwambara chigunia.",
"there is wrath, jealousy, trouble, unrest, fear of death, anger, and strife. In the time of rest upon his bed, his night sleep changes his knowledge.","Kera ekemo nemoko nekeririanda, obokong’u n’omoichano, obwoba bw’amakweri, obobisa n’eriomana. Goika nonya nekero omonto akoraara ase oborere bwaye chitoro nigo chigwochogania ebirengererio biaye.",
"He gets little or no rest, and afterward in his sleep, as in a day of keeping watch, he is troubled in the vision of his heart, as one who has escaped from the front of battle.","Nigo akoraara chitoro chinke gose takoraara nonya ng’ake; naende nonya nekero araire nigo anga buna oria orooche. Ere nigo agochaandwa nemegwekano ase ebirengererio biaye, buna omonto oria otamire korwa bosio ase ogoitwa ase esegi.",
"In the very time of his deliverance, he awakens, and marvels that the fear is nothing.","Ekero agotorigwa, obooka, oichana buna obwoba bwaye tibobwati ekeene.",
"To all creatures, human and animal, and upon sinners sevenfold more,","Nabo ere igo ase ebitongwa bionsi, ching’iti amo na Mwanyabaanto naende nigo ere boigo ara gatano na kabere ase omonyabibe:",
"come death, bloodshed, strife, sword, calamities, famine, suffering, and plague.","Amakweri kera engaki, ogoitera amanyinga, ogoitana neseegi, amakweri, enchara, emechaando na amarwaire.",
"All these things were created for the wicked, and because of them the flood came.","Ebio bionsi nigo biatongetwe ase engencho ya abanyabibe, etoigo nigo yachete ase engencho yababegu.",
All things that are of the earth turn to the earth again. All things that are of the waters return into the sea.,"Ebinto bionsi biaruete ase riroba mbirane naende ase riroba, buna boigo amaache onsi akoirana gochia ase enyaancha.",
All bribery and injustice will be blotted out. Good faith will stand forever.,"Kera riaki nobobe, inabitinyigwe, korende okwegena okuya inakobeo ase ebiro bitakoera.",
"The goods of the unjust will be dried up like a river, and like a great thunder in rain will go off in noise.","Enibo yababe nekamoke buna orooche, inayateke buna ogotitira ase engaki y’embura enyinge.",
"In opening his hands, a man will be made glad; so lawbreakers will utterly fail.","Omonto omoitongo nanyoore omogooko, korende abamochi inabasire kegima.",
"The children of the ungodly won’t grow many branches, and are as unhealthy roots on a sheer rock.","Abana ba baria batamoirogeti Omonene Nyasae tibakoba nomoseboko, barabwo nigo banga emeri emerosu ere ime ase egetare ekiomo.",
The reeds by every water or river bank will be plucked up before all grass.,Emerande ere mbarabare ase amaache gose orooche eyio nero egochia gotanga korusigwa aroro obonyansi bonde bwonsi botararusigwa aroro.,
Kindness is like a garden of blessings. Almsgiving endures forever.,"Obuya nigo bonga omogondo bw’amaua oichire ogosesenigwa, n’esadaka ase omonto omotaka nigo ekomenya amatuko onsi.",
The life of one who labors and is content will be made sweet. He who finds a treasure is better than both.,"Ase omonto oria bwetenenerete na omokori emeremo boigo, obogima nobuya; korende amaya abuete ayio nomonto oria onyorire obobisi bw’emonga.",
Children and the building of a city establish a name. A blameless wife is better than both.,"Okoba na abana amo noboagacho nigo bikomoa omonto esiko, korende omokungu otari na komocha nigo abuete ebio bionsi bibere.",
Wine and music rejoice the heart. The love of wisdom is better than both.,"Ebinyugwa bigotindia amo nechingeero chi’okogokia nigo bikomosasokia omonto, korende gwancha obong’aini nigo kere egento ekiya kobua ebio bibere.",
The pipe and the lute make pleasant melody. A pleasant tongue is better than both.,"Esirimbi amo nekenanda nigo bikorua eriogi rigiya ase ogoteera, korende eriogi riokogokia nigo rire rigiya kobua.",
"Your eye desires grace and beauty, but the green shoots of grain more than both.","Amaiso nigo akogokia ekieni nobuya bw’omonto, korende obuya bwokomera gwechintetere nigo boetanetie onsi.",
"A friend and a companion is always welcome, and a wife with her husband is better than both.",Abasani na abanto abamo nigo bare abengeencho mono korende okobwatana kw’omokuungu nomosaacha oye nigo kore okuya kobua.,
"Relatives and helpers are for a time of affliction, but almsgiving rescues better than both.","Okoba na abamino na gokonyana ase chingaki chi’obokong’u negento ekiya, korende ogokonya abataka nigo kore okuya kobua.",
"Gold and silver will make the foot stand sure, and counsel is esteemed better than both.","Etaabu nechifeta nigo bikomokong’ia omonto, korende amorokererio amaya nigo abuete ebio bibere.",
"Riches and strength will lift up the heart. The fear of the Lord is better than both. There is nothing lacking in the fear of the Lord. In it, there is no need to seek help.","Enibo nokobua nigo bikomokong’ia omonto, korende okomoiroka Omonene nokuya kobua. Ekemoa tikeri ase okomoiroka Omonene, oise koba nekeegwa ekio, aye tokogania obokonyi bonde.",
The fear of the Lord is like a garden of blessing and covers a man more than any glory.,"Okomoiroka Omonene nigo konga omogondo bw’amaua osesenirie, nakorokwo nigo gokomorenda omonto kobua obonene bonde bwonsi.",
"My son, don’t lead a beggar’s life. It is better to die than to beg.","Aye omwana one, tobaisa komenyera obogima bw’ogosaberera, nigo ere buya aye okwe kobua gosaberera.",
"A man who looks to the table of another, his life is not to be considered a life. He will pollute his soul with another person’s food, but a wise and well-instructed person will beware of that.","Ekero omonto akomosemeria oyonde amoe endagera, ere nigo akomenya obogima botagwenereti Mwanyabaanto. Ogosemeria endagera y’omonto onde nokwea obosooku; omonto oorokereirie naende omong’aini, ere nigo akobwebachera obogima bonga buna obwo.",
"Begging will be sweet in the mouth of the shameless, but it kindles a fire in his belly.","Ase omonto otari negesookero, ogosaberera nigo kore asere ogwansu, korende ime yaye nigo oreo omorero okomosaamba.",
"O death, how bitter is the memory of you to a man who is at peace in his possessions, to the man who has nothing to distract him and has prosperity in all things, and who still has strength to enjoy food!","Aye amakweri! Ogokoinyora nobororo obonene, ase omonto ore moyo oyio omenyete nomorembe ase enibo yaye; ase omonto otari kwegosa, oyio okonyaara kera ring’ana, boigo ere oria ore nechinguru chi’okwegokeria endagera yaye.",
"O death, your sentence is acceptable to a man who is needy and who fails in strength, who is in extreme old age, is distracted about all things, is perverse, and has lost patience!","Aye amakweri! Ekiina kiao nigo kere ring’ana rigiya ase omotaka oria ore birati boigo oereirwe chinguru, ase omonto omogaka oria ogweichandera kera ring’ana, omonto ore nobosareru boigo oereirwe okoremereria.",
Don’t be afraid of the sentence of death. Remember those who have been before you and who come after. This is the sentence from the Lord over all flesh.,Toiroka ogweitia kwa amakweri; oinyore baria bagotang’anerete na baria baragotunyane.,
"And why do you refuse when it is the good pleasure of the Most High? Whether life lasts ten, or a hundred, or a thousand years, there is no inquiry about life in Hades.",Oyio nomoroberio Omonene ase ebitongwa bionsi. Ninki keragere oamereranie na keri’Omonene anchete goetia? Okomenya emiaka rigana gose elifu teri engencho ase purigatori.,
The children of sinners are abominable children and they frequent the dwellings of the ungodly.,Abana ba abanyabibe nokogechia; barabwo nigo bakona koombogana ase emechie etamosigeti Omonene.,
The inheritance of sinners’ children will perish and with their posterity will be a perpetual disgrace.,"Omwando bw’abana ba abanyabibe nosire, boigo oroiboro rwabo inaromenye ase obosooku kare na kare.",
"Children will complain of an ungodly father, because they suffer disgrace because of him.","Abana inabamoragererie ise oria otamoirogeti Omonene, ase engencho yobosooku akobarentera abana baye.",
"Woe to you, ungodly men, who have forsaken the law of the Most High God!","Obobe nobwaino, inwe baria motamoirogeti Nyasae Ore Igoro Mono, inwe baria mwatigire ogochika kw’Omonene!",
"If you are born, you will be born to a curse. If you die, a curse will be your portion.","Ekero morasesenigwe, okonyora kwaino inagosire; ekero moragoochwe timokoimoka naende; na ekero morakwe, okoragererigwa nakwo moranyore inwe.",
All things that are of the earth will go back to the earth; so the ungodly will go from a curse to perdition.,"Kende gionsi gekorwa ase orotu, kerokio nigo gekoirana gochi ase orotu, ababe nigo bagochaakera okoragererigwa na gokorera obosiru.",
The mourning of men is about their bodies; but the evil name of sinners will be blotted out.,"Abanto nigo bakoreera emebere yebitondo, korende erieta ribe ria abanto abanyabibe inarituguterwe are.",
"Have regard for your name, for it continues with you longer than a thousand great treasures of gold.","Aye oria erieta riao ri’esiko ekiagera rirorio inarigotigarere, inarimenye goetania emonga elifu eyemo y’echitaabu.",
"A good life has its number of days, but a good name continues forever.","Ebiro bi’okwegokia nigo bire nechingaki chinke igo, korende erieta rigiya nigo rikomenya amatuko atakoera.",
"My children, follow instruction in peace. But wisdom that is hidden and a treasure that is not seen, what benefit is in them both?","Abana baane, tegerera amorokererio aane momenye nomorembe. Obong’aini bobisegete na emonga etari kororekana, inee ebio ninki bibwate?",
Better is a man who hides his foolishness than a man who hides his wisdom.,"Nigo ere buya ase omonto obisete oboriri bwaye, kobua oria obisete obong’aini bwaye.",
Therefore show respect for my words; for it is not good to retain every kind of shame. Not everything is approved by all in good faith.,Aye oyasike amang’ana aane; ekiagera teri buya orore obosooku ase kera egento na tari kera egento kegwancherwa na kera omonto.,
"Be ashamed of sexual immorality before father and mother, of a lie before a prince and a mighty man,","Aye obe nobosooku ase ogokora amang’ana amabe ase obosio bwa abaibori, ase ogoteeba oborimo ase obosio bw’omonene gose omogambi;",
"of an offense before a judge and ruler, of iniquity before the congregation and the people, of unjust dealing before a partner and friend,","ase okomocha ase obosio bw’omonachi ebiina, na ase ogokora obobe ase obosio bw’emeganda;",
"and of theft in the place where you sojourn. Be ashamed in regard of the truth of God and his covenant, of leaning on your elbow at dinner, of contemptuous behavior in the matter of giving and taking,","ase okomong’aina oyomino ase emeremo gose omosaani, ase okoiba ase aye omenyete.",
"of silence before those who greet you, of looking at a woman who is a prostitute,","Orore obosooku ase okoborwa obwegenwa ase Omonene na okobwatana kwaye, igoro yokoborwa amasikani ase endagera;",
"of turning away your face from a kinsman, of taking away a portion or a gift, of gazing at a woman who has a husband,","ase okoba omong’iti ekero ogosabwa egento, ase ogokira ekero ogokwanigwa,",
"of meddling with his maid—and don’t come near her bed, of abusive speech to friends—and after you have given, don’t insult,","ase okomorigereria omokungu omotaayayi, ase okwanga komokoonya omonto bw’eamate yao;",
"of repeating and speaking what you have heard, and of revealing of secrets.","ase okomounereria omonto enibo yaye, gose ase okomomogorera omokungu bw’omogisangio oo.",
"Don’t be ashamed of these things, and don’t sin to save face:","Aya naro amang’ana otarorere obosooku koyakora, gose tokora ebibe ase okwoboa egento abanto barateebe:",
"of the law of the Most High and his covenant, of judgment to do justice to the ungodly,","Tobaisa korora obosooku ase ogotunyana amachiiko y’Omonene amo n’okobwatana kwaye, tobaisa korora obosooku ase okobanachera ekiina kia boronge abare abamochi.",
"of reckoning with a partner and with travellers, of a gift from the inheritance of friends,","Tobaisa korora obosooku ase okomokorera omokori emeremo omino gose omoeti, boigo ase okogabana omwando nomosani.",
"of exactness of scales and weights, of getting much or little,","Tobaisa korora obosooku ase ogokorera ebinto biokorengera bi’ekeene,",
"of bargaining dealing with merchants, of frequent correction of children, and of making the back of an evil slave to bleed.","kwenyoorera ebitoki ase abaonchoreria, koborokereria abana amasikani amanene, komoaka ebiranya omokori emeremo omobe.",
"A seal is good where an evil wife is. Where there are many hands, lock things up.","Onye omokungu oo tari omwegeenwa, aye omobise amang’ana ao, na ase abanto abange aye osiekere ebinto biao.",
"Whatever you hand over, let it be by number and weight. In giving and receiving, let all be in writing.","Aye omanye ekerengo gia kera egento okorwa, omanye ekerengo nomobaro oye, obeke ase amariiko okobwatana nobokoreri.",
"Don’t be ashamed to instruct the unwise and foolish, and one of extreme old age who contends with those who are young. So you will be well instructed indeed and approved in the sight of every living man.","Torora obosooku komworokereria omoriri na oria otamanyeti gose omogaka okwomana na abasae. Agwo aye tokoba rioka kworokereriigwe, aye nonyoore ogwancherwa ase abanto bonsi.",
"A daughter is a secret cause of wakefulness to a father. Care for her takes away sleep— in her youth, lest she pass the flower of her age; when she is married, lest she should be hated;",Omogaka obwate omoiseke nigo akogeesa bobisi ase engencho yomoiseke oye; chitang’utang’u chiaye ase omoiseke oye nigo chikomorina chitoro.,
"in her virginity, lest she should be defiled and be with child in her father’s house; when she has a husband, lest she should transgress; and when she is married, lest she should be barren.","Ekero are omoiseke, ise nigo akwoboa buna nigo ere arasarigwe, gose nabaisa konyora oborito ekero ere are ase enyomba yaye; naende ekero asookire ise nigo akwoboa buna nigo arabaisa koba omogomba.",
